Indexing Time: 139768 MSec
Estimated Memory: 169.356 MB

UID,MMR,Relevance,Diversity,MSec,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,IP1,IP2,IP3,IP4,IP5,IP6,IP7,IP8,IP9,IP10
0,0.118594,0.560347,0.471526,7654.7,227416,88378,75715,155973,211849,15750,170723,241337,239507,50463,0.642971,0.591488,0.598281,0.586471,0.521271,0.543361,0.57429,0.545681,0.486387,0.51327
1,0.131919,0.616312,0.50452,7947.05,184326,140829,68746,137179,57030,126501,121782,207203,14674,190098,0.663544,0.649015,0.63709,0.623666,0.635332,0.644719,0.602497,0.621618,0.540695,0.544948
2,0.147323,0.69128,0.572004,8195.9,52264,202,208779,78031,130077,186341,244257,144070,136117,159888,0.750525,0.749349,0.723073,0.708971,0.72071,0.698385,0.64717,0.675947,0.693753,0.544916
3,0.140554,0.679561,0.602995,9016.84,192585,170073,147071,210563,42312,224921,231392,117245,53166,116938,0.726384,0.707458,0.698014,0.710537,0.684351,0.695255,0.651469,0.657718,0.649936,0.61449
4,0.133556,0.609928,0.470692,6700.75,199790,143916,61248,210093,168059,232882,175272,204297,223092,163343,0.703174,0.654286,0.617915,0.586227,0.624327,0.596519,0.591656,0.553973,0.58219,0.589013
5,0.149304,0.718697,0.631482,8577.15,5506,227347,247476,50675,97845,23007,177499,156168,190541,179051,0.770456,0.745061,0.748159,0.729775,0.699293,0.73154,0.723205,0.68005,0.681304,0.678129
6,0.143396,0.721484,0.695707,2080.07,221130,237477,144823,110738,35877,224883,124232,113302,143647,85326,0.769061,0.759209,0.751548,0.731453,0.732165,0.730535,0.729727,0.678755,0.627926,0.704461
7,0.147496,0.721083,0.655514,9218.71,71641,146203,183475,122464,53073,9028,54361,199409,178972,150862,0.770442,0.739883,0.736468,0.736149,0.736052,0.715355,0.698799,0.674018,0.725102,0.678558
8,0.169594,0.826851,0.747253,7580.24,71498,203622,211978,247183,135652,30537,123030,81293,198814,135682,0.898924,0.873747,0.868109,0.834843,0.83131,0.817116,0.811656,0.826146,0.716,0.790659
9,0.0990674,0.463987,0.382179,2856.24,33823,175896,160804,197032,29695,2520,220788,35464,9930,150233,0.603425,0.560437,0.49294,0.489414,0.487009,0.475818,0.463056,0.39645,0.377122,0.294202
10,0.193029,0.985938,0.978594,1980.81,11248,32004,47221,21516,17331,36131,30836,18397,27658,8584,0.992752,0.988796,0.98864,0.985865,0.985529,0.985914,0.985154,0.982034,0.982402,0.982291
11,0.176574,0.884517,0.845535,8149.86,88486,80675,204678,2715,103139,63394,122830,230841,60740,168853,0.904075,0.900329,0.894492,0.888987,0.887029,0.888679,0.874441,0.876421,0.871902,0.85882
12,0.130956,0.657331,0.63089,8826.39,33037,157403,118785,105365,197720,31972,114937,147779,58282,122294,0.763551,0.719163,0.712317,0.693092,0.692307,0.698818,0.570627,0.685265,0.492067,0.5461
13,0.13701,0.630566,0.496755,2312.64,190055,183869,246424,55242,158454,230085,241664,167403,158237,196095,0.904175,0.651233,0.642762,0.621008,0.616349,0.623155,0.617692,0.554105,0.578791,0.496386
14,0.17485,0.886573,0.867824,4584.35,149461,80158,104453,51902,149871,226556,159558,235005,82760,148354,0.915226,0.914005,0.909416,0.899269,0.885634,0.898051,0.851213,0.873841,0.861844,0.857233
15,0.158812,0.779015,0.713266,5754.18,235091,17729,81451,70145,237785,244861,166368,75128,29251,188848,1,0.827227,0.780602,0.781759,0.76912,0.769357,0.767777,0.725567,0.672631,0.696109
16,0.108189,0.499441,0.396598,6744.96,106928,131318,54735,126335,123733,32911,115172,81401,162540,141348,0.54199,0.540403,0.522039,0.51355,0.502586,0.509352,0.502518,0.507625,0.389665,0.464679
17,0.130201,0.612682,0.510511,3738.71,208574,226554,112642,159062,94059,131045,117484,232838,193737,172413,0.656029,0.638491,0.637745,0.635992,0.633166,0.642568,0.552505,0.614424,0.564211,0.551687
18,0.127864,0.590173,0.468455,5618.15,202637,76484,145867,3811,114428,172924,247682,107665,69730,46505,0.628058,0.609554,0.617564,0.611615,0.613506,0.59591,0.552564,0.562297,0.561007,0.549653
19,0.173349,0.857563,0.799237,8708.82,205459,223371,237792,246771,234693,248027,220686,223086,149583,220713,1,0.875904,0.857653,0.859653,0.852777,0.856328,0.849766,0.83292,0.807934,0.782691
20,0.0865865,0.419686,0.37447,2385.59,152885,137247,42228,209742,248032,114518,96290,103616,234066,136888,0.500793,0.493521,0.470533,0.456187,0.45263,0.440055,0.414636,0.420611,0.406098,0.141798
21,0.135864,0.627532,0.499005,2854.51,20877,2257,125892,179273,75284,65637,71021,75934,191553,192960,0.687459,0.684273,0.658652,0.645504,0.634051,0.594292,0.603652,0.575021,0.57628,0.616134
22,0.17026,0.840443,0.779739,6402.59,121996,71125,88579,230072,4973,102784,31512,238430,143476,224101,0.869836,0.85845,0.855802,0.84869,0.848504,0.835094,0.827503,0.840858,0.813744,0.805946
23,0.19406,0.993642,0.990791,3782.14,153388,198331,159242,170530,190559,180133,191208,181743,179370,192233,0.995497,0.994859,0.994167,0.994133,0.993177,0.993806,0.993723,0.992727,0.991451,0.992879
24,0.14429,0.674641,0.553355,6565.34,185092,232808,151266,192081,75076,93073,96354,64387,152163,198079,0.757404,0.725911,0.718221,0.68285,0.675947,0.650319,0.661683,0.659865,0.611803,0.602409
25,0.131201,0.64072,0.581096,9064.94,208976,38161,94952,80004,40659,146558,156759,243288,65802,161732,0.680059,0.672106,0.667558,0.654804,0.636906,0.631339,0.641208,0.636981,0.60182,0.584418
26,0.118643,0.564186,0.482026,8281.84,7082,246867,85851,13293,33788,50311,57740,209434,121113,216365,0.617053,0.602095,0.590143,0.597807,0.571871,0.56477,0.556348,0.557181,0.47741,0.507181
27,0.135372,0.642988,0.547849,3677.78,80792,199006,182179,225455,123664,113348,244566,124786,160637,15119,0.751886,0.696705,0.690489,0.663067,0.631317,0.626634,0.639555,0.62706,0.620316,0.482849
28,0.147502,0.729054,0.678227,8198.63,91572,77382,218289,98123,31066,86852,24478,58442,147459,40312,0.762101,0.744467,0.745508,0.73424,0.738024,0.722353,0.700178,0.714177,0.732376,0.697117
29,0.135766,0.654257,0.576297,6987.5,167595,59941,2788,133985,122748,117312,197461,129969,80141,117009,0.720367,0.683846,0.682402,0.671447,0.662964,0.658741,0.618327,0.616385,0.637618,0.590477
30,0.137751,0.665252,0.588807,9311.94,154842,183071,85568,214553,243820,166237,119222,232915,153002,216464,0.727043,0.715531,0.691854,0.681995,0.668159,0.685091,0.664544,0.622996,0.591122,0.604191
31,0.153212,0.763441,0.722099,7380.63,127309,84553,128993,83726,65210,140274,241030,49177,169570,86006,0.793849,0.788819,0.779013,0.765043,0.758778,0.76918,0.762194,0.711864,0.761061,0.74461
32,0.136826,0.649439,0.552438,8125.06,105214,44023,80789,20923,96178,121666,233924,31966,150124,143921,0.734803,0.689627,0.650046,0.673542,0.668359,0.616627,0.625429,0.616179,0.634342,0.585441
33,0.149479,0.74065,0.692531,8109.94,82117,162383,221390,226551,220702,88140,248475,178182,178993,170712,0.789999,0.77751,0.762978,0.760656,0.733034,0.73616,0.721667,0.734966,0.704706,0.684825
34,0.181952,0.902993,0.847105,8149.14,85092,84484,73907,88535,59925,84550,86188,17986,68359,51470,0.99171,0.986091,0.984732,0.981653,0.980735,0.979786,0.788842,0.785261,0.773672,0.777448
35,0.143501,0.685262,0.591217,8790.22,138561,73293,182500,179577,57642,139379,180658,93368,109681,176505,1,0.711939,0.702346,0.704821,0.656881,0.613924,0.662699,0.599692,0.629891,0.570429
36,0.159638,0.746733,0.613165,6217.65,218068,225617,15022,182357,139899,132548,70478,96045,7964,81689,1,1,0.735429,0.715623,0.695199,0.681415,0.692524,0.675025,0.596663,0.675452
37,0.12034,0.547486,0.418156,4284.89,224737,14308,65231,188821,211426,156020,121830,107669,238993,61052,0.600868,0.584497,0.563071,0.579137,0.528107,0.561439,0.546418,0.543709,0.493931,0.473686
38,0.147214,0.694394,0.581945,8026.87,49916,125735,10949,147462,123195,59370,82828,28989,16524,91081,0.749291,0.741092,0.719225,0.696069,0.687338,0.678231,0.659474,0.683625,0.679758,0.649838
39,0.104455,0.480167,0.377094,2859.66,163218,33338,88772,120416,12418,28214,119557,16038,40128,14443,0.552003,0.540524,0.510985,0.49045,0.43753,0.453727,0.460221,0.458279,0.45569,0.442259
40,0.175989,0.887982,0.861011,6315.55,134576,128597,101169,108545,99978,112837,140329,124336,123263,147982,0.904544,0.9017,0.903072,0.90113,0.891573,0.890939,0.888624,0.881927,0.858324,0.857992
41,0.113593,0.539412,0.459339,6985.71,207143,134271,171039,144437,234756,146537,190844,135891,207286,112585,0.580176,0.57128,0.55613,0.56138,0.529855,0.52511,0.532286,0.494538,0.531282,0.512081
42,0.117393,0.553859,0.464425,2997.01,49256,170449,82782,182769,231206,160875,87629,71952,182580,124871,0.602123,0.594262,0.585199,0.587149,0.565871,0.545257,0.521703,0.532767,0.549726,0.454539
43,0.188481,0.951809,0.924401,7541.61,40896,47114,12958,32816,31445,23998,45767,8662,8479,205878,0.985148,0.984673,0.984519,0.984057,0.981975,0.978073,0.978149,0.973474,0.846182,0.821838
44,0.124348,0.57741,0.465473,6804.51,80137,154732,170172,115368,156467,33053,7098,138790,215392,198451,0.640151,0.602261,0.604183,0.600594,0.5825,0.597893,0.560057,0.586096,0.503034,0.497328
45,0.184895,0.936444,0.914654,6790.89,201882,215076,211830,213767,213036,201879,246191,244462,248810,221492,0.949185,0.946084,0.94508,0.943341,0.937657,0.930914,0.935772,0.931091,0.914617,0.930699
46,0.136864,0.64981,0.553131,4119.47,75380,226089,224275,143538,61826,14411,153498,222602,152719,173074,0.732063,0.690343,0.666166,0.65495,0.657362,0.671363,0.67105,0.595406,0.586923,0.572474
47,0.113331,0.543605,0.473811,6181.44,58311,189452,194565,21273,89840,192150,192711,156979,11854,63942,0.625903,0.607858,0.584839,0.594012,0.558539,0.566195,0.561267,0.457413,0.429757,0.450264
48,0.195,0.999998,0.999998,2286.28,2894,3106,11935,15316,28970,31950,34867,45631,48273,102138,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998
49,0.13907,0.672672,0.597441,4252.05,59350,214049,242903,71543,149385,94074,82605,75277,201887,77002,0.733132,0.700412,0.680686,0.672049,0.666185,0.657974,0.655619,0.665741,0.64547,0.649455
50,0.137218,0.638927,0.518672,2124.93,72048,55995,46638,88546,69698,118503,109656,218818,33817,181551,0.776603,0.712301,0.695414,0.647023,0.608692,0.65482,0.470146,0.662344,0.646681,0.515246
51,0.176547,0.888916,0.858355,9133.93,200279,214065,64473,56413,61620,151122,95686,241948,76072,241005,0.907998,0.907032,0.899722,0.895945,0.896747,0.884261,0.869044,0.884191,0.879429,0.864788
52,0.166924,0.8142,0.736533,8813.06,55179,173859,176110,104211,58866,85860,137198,109546,21241,1372,0.834017,0.826621,0.825928,0.822966,0.804066,0.804367,0.829983,0.770982,0.809976,0.8131
53,0.19362,0.990496,0.985986,6942.45,170371,168978,154505,159461,177123,187761,196381,182282,160054,194436,0.992216,0.992143,0.991137,0.991011,0.990599,0.990463,0.990446,0.989617,0.98831,0.989017
54,0.178414,0.897805,0.865971,5517.32,223183,104455,143872,130302,6308,115642,26048,243286,32511,145795,0.907452,0.905633,0.904036,0.90388,0.900617,0.890154,0.887181,0.892384,0.901122,0.885589
55,0.123507,0.603782,0.548838,7729.48,222536,146022,35906,8751,156447,25003,203492,107589,39927,169931,0.719646,0.714636,0.699434,0.665989,0.609873,0.632423,0.485276,0.483034,0.458109,0.569404
56,0.185324,0.941134,0.923966,7647.85,213999,238532,233149,239872,202246,242326,207922,244302,114562,247172,0.951758,0.951524,0.949577,0.948209,0.947498,0.943897,0.942569,0.946043,0.903369,0.9269
57,0.147944,0.702245,0.597425,3997.7,105308,230154,233220,59941,198818,187919,242325,88196,87151,220411,0.762383,0.750687,0.75228,0.718016,0.680589,0.690469,0.685816,0.664023,0.648819,0.669372
58,0.177888,0.900443,0.87852,6453.39,63998,95978,85027,91080,70400,84668,234063,56921,83751,75747,0.917614,0.916912,0.914789,0.911411,0.911495,0.909069,0.901304,0.882941,0.873042,0.865852
59,0.129582,0.641521,0.598808,9089.11,29768,143716,33563,127009,105576,48236,30991,210789,142707,43909,0.721178,0.716601,0.662386,0.638592,0.651555,0.652704,0.616086,0.604819,0.572013,0.57928
60,0.182582,0.910425,0.862337,6808.53,204427,230286,234603,47018,236843,241841,4028,74722,208682,241867,0.949713,0.943463,0.919419,0.906581,0.902866,0.894951,0.889215,0.900252,0.894062,0.903732
61,0.150668,0.731092,0.653905,9471.31,157039,191776,72168,47804,152178,200801,37322,172525,86121,18978,0.827676,0.794188,0.756041,0.747527,0.738066,0.728565,0.713478,0.676498,0.731252,0.597627
62,0.141458,0.694915,0.638253,7318.23,232858,43242,62672,91084,50242,90135,214820,79854,126768,161286,0.722022,0.712028,0.716658,0.693625,0.702271,0.697783,0.688768,0.675776,0.660425,0.679791
63,0.0729109,0.36546,0.349782,4156.5,222094,219400,23479,161805,172990,163914,28730,240726,203715,110097,0.450198,0.424279,0.425214,0.413038,0.351722,0.317813,0.282445,0.377151,0.246582,0.366157
64,0.167216,0.845186,0.822288,7770.02,168921,149680,186675,202613,92368,155564,185261,207260,176093,94272,0.978441,0.860449,0.844479,0.828417,0.83656,0.824131,0.816508,0.821166,0.82024,0.821472
65,0.171838,0.832612,0.742341,7714.89,22265,60218,232563,121683,107618,82134,202548,206483,41220,76083,0.901635,0.868812,0.866355,0.84082,0.829639,0.820186,0.807141,0.814237,0.772061,0.805228
66,0.146846,0.72354,0.668724,6280.76,141872,205998,143489,195706,129414,83707,203318,70057,83267,44437,0.759827,0.759791,0.745779,0.73699,0.726042,0.708461,0.718776,0.704377,0.688205,0.687152
67,0.105704,0.474675,0.349508,3014.94,229188,158292,176661,76410,191054,3338,39603,248353,196941,162131,0.927968,0.749493,0.710586,0.475728,0.372125,0.372436,0.325349,0.297968,0.371123,0.143971
68,0.120019,0.581066,0.517146,9357.6,63051,107525,96158,86017,18809,223915,162482,99624,43066,142581,0.63067,0.617344,0.611008,0.589372,0.59078,0.51818,0.581657,0.575599,0.546705,0.549342
