Indexing Time: 143147 MSec
Estimated Memory: 169.356 MB

UID,MMR,Relevance,Diversity,MSec,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,IP1,IP2,IP3,IP4,IP5,IP6,IP7,IP8,IP9,IP10
0,0.491349,0.554993,0.542982,3480.97,227416,88378,170723,7061,241337,204604,156381,106310,232647,84584,0.642971,0.591488,0.57429,0.549233,0.545681,0.535906,0.535266,0.531069,0.523834,0.520195
1,0.559237,0.631408,0.602035,2540.49,140829,126501,68746,57030,34297,215448,137179,207203,145179,166414,0.649015,0.644719,0.63709,0.635332,0.632113,0.627608,0.623666,0.621618,0.622475,0.620448
2,0.611511,0.68982,0.621794,2394.35,52264,130077,78031,136117,179771,144070,19300,166161,209055,164565,0.750525,0.72071,0.708971,0.693753,0.678857,0.675947,0.674294,0.669874,0.666378,0.658894
3,0.598317,0.675677,0.652822,2460.3,192585,170073,42312,57735,158056,49031,58371,34001,149441,128977,0.726384,0.707458,0.684351,0.67011,0.666934,0.665593,0.662831,0.659347,0.658804,0.654958
4,0.525079,0.591381,0.477647,2528.6,199790,61248,232882,163343,223092,238045,169969,167180,166954,110860,0.703174,0.617915,0.596519,0.589013,0.58219,0.574021,0.56466,0.562968,0.561778,0.561576
5,0.625451,0.705584,0.638346,2442.66,5506,227347,177499,186026,10961,229784,102504,159432,241313,42036,0.770456,0.745061,0.723205,0.702466,0.694263,0.68997,0.684104,0.682974,0.68235,0.680995
6,0.616843,0.696521,0.66835,1467.78,237477,144823,110738,124232,221548,113302,44082,102402,205217,110707,0.759209,0.751548,0.731453,0.729727,0.715036,0.678755,0.676357,0.652021,0.648124,0.62298
7,0.6489,0.73311,0.726567,2569.16,71641,183475,122464,112764,9434,199262,178972,97999,227756,12265,0.770442,0.736468,0.736149,0.73522,0.734703,0.729263,0.725102,0.722657,0.721875,0.71922
8,0.701013,0.790813,0.714599,2498.47,71498,211978,81293,123030,56666,103365,94396,117315,217622,231893,0.898924,0.868109,0.826146,0.811656,0.787605,0.767477,0.749345,0.744543,0.728002,0.726324
9,0.422783,0.478295,0.512173,2656.45,33823,160804,29695,111961,220788,107069,52608,91279,214905,220108,0.603425,0.49294,0.487009,0.466936,0.463056,0.456411,0.456783,0.456405,0.450397,0.449591
10,0.871617,0.984761,0.977844,955.785,11248,36131,17331,25585,2184,46022,6208,19276,27658,18397,0.992752,0.985914,0.985529,0.98478,0.983923,0.983594,0.983433,0.983243,0.982402,0.982034
11,0.781293,0.882343,0.854348,2436.47,80675,214858,2715,103139,33495,230841,190819,215267,60740,123769,0.900329,0.894492,0.888987,0.887029,0.881114,0.876421,0.876222,0.875142,0.871902,0.871789
12,0.575676,0.651114,0.688397,2711.75,33037,118785,197720,147779,50858,39108,134959,114937,135197,60142,0.763551,0.712317,0.692307,0.685265,0.674538,0.652432,0.643697,0.570627,0.569461,0.546941
13,0.561316,0.633353,0.580089,2732.14,190055,246424,241664,158454,198472,186972,180771,191700,190795,209449,0.904175,0.642762,0.617692,0.616349,0.609751,0.595032,0.588893,0.58876,0.587618,0.582499
14,0.775089,0.875942,0.883871,1944.82,80158,104453,226556,226630,240561,189779,200899,148354,234758,60855,0.914005,0.909416,0.898051,0.881547,0.86799,0.862821,0.858073,0.857233,0.855988,0.854292
15,0.680835,0.768799,0.738919,2400.21,235091,70145,244861,237785,159994,70323,206467,146887,61640,94471,1,0.781759,0.769357,0.76912,0.748211,0.746217,0.730243,0.718892,0.716108,0.70808
16,0.445253,0.50219,0.447866,2858.49,131318,126335,32911,26103,123733,115172,87559,44253,60578,217337,0.540403,0.51355,0.509352,0.505339,0.502586,0.502518,0.494964,0.488467,0.483701,0.481018
17,0.553663,0.625382,0.612005,2356.69,208574,226554,112642,157091,246428,233521,38500,71831,48617,145960,0.656029,0.638491,0.637745,0.632984,0.622509,0.622467,0.615138,0.613754,0.608709,0.605989
18,0.526541,0.594446,0.563985,2438.55,145867,114428,76484,107165,172924,83865,175781,231546,160190,71481,0.617564,0.613506,0.609554,0.605456,0.59591,0.592532,0.584172,0.582742,0.573402,0.569617
19,0.75777,0.855825,0.831496,2584.01,205459,237792,234693,220686,226771,231780,219110,227289,246286,211478,1,0.857653,0.852777,0.849766,0.845122,0.838574,0.83594,0.832,0.824392,0.82202
20,0.400905,0.454956,0.570357,2700.94,137247,42228,57516,217196,209742,189847,99174,30132,206318,2996,0.493521,0.470533,0.460538,0.459242,0.456187,0.451262,0.445062,0.439922,0.438897,0.4344
21,0.553828,0.624538,0.550414,2360.64,20877,125892,75284,214650,192960,169270,71021,112557,56263,54285,0.687459,0.658652,0.634051,0.631563,0.616134,0.614418,0.603652,0.60174,0.599331,0.598385
22,0.750477,0.848216,0.861154,2328.18,121996,88579,175183,149588,132556,9536,58645,189804,85273,175670,0.869836,0.855802,0.848323,0.847406,0.845555,0.84507,0.843178,0.843108,0.842811,0.841068
23,0.879159,0.99338,0.992213,1348.78,153388,170530,180133,191208,162295,168403,192233,181743,153862,161016,0.995497,0.994133,0.993806,0.993723,0.993166,0.992988,0.992879,0.992727,0.992515,0.992368
24,0.58287,0.656726,0.545542,2449.55,232808,151266,96354,232225,93073,31676,85232,154394,79619,152163,0.725911,0.718221,0.661683,0.656459,0.650319,0.6474,0.646939,0.630254,0.618266,0.611803
25,0.572181,0.646185,0.625702,2543.76,38161,94952,49487,96831,156759,243288,40659,38980,72236,141442,0.672106,0.667558,0.656667,0.648672,0.641208,0.636981,0.636906,0.635169,0.633038,0.633543
26,0.499083,0.563798,0.555676,2689.39,7082,85851,69861,50311,57740,238178,135608,242573,122713,30923,0.617053,0.590143,0.586821,0.56477,0.556348,0.55274,0.549028,0.543575,0.541603,0.535901
27,0.557444,0.628966,0.575019,2207.3,80792,182179,244566,113348,160637,13183,64213,212393,181662,39094,0.751886,0.690489,0.639555,0.626634,0.620316,0.6049,0.597966,0.593521,0.586445,0.577946
28,0.636415,0.718558,0.685823,2415.76,91572,230445,98123,86852,164666,10352,24478,16898,11732,69691,0.762101,0.745508,0.73424,0.722353,0.720723,0.71068,0.700178,0.697615,0.698052,0.694134
29,0.58006,0.655326,0.648914,2381.09,167595,53462,122748,46154,93435,154101,60709,153128,5710,32966,0.720367,0.673562,0.662964,0.65258,0.652183,0.642537,0.641942,0.637963,0.635656,0.633507
30,0.599264,0.677382,0.692005,2591.81,154842,85568,88344,11929,15486,142082,170324,119222,40889,25213,0.727043,0.691854,0.683585,0.6807,0.670077,0.66876,0.667718,0.664544,0.663084,0.656454
31,0.680461,0.768834,0.765945,2276.55,84553,218208,128993,45549,83726,101057,28360,102926,65210,99812,0.788819,0.78125,0.779013,0.766121,0.765043,0.764342,0.763301,0.762075,0.758778,0.759596
32,0.57994,0.654504,0.60755,2487.43,105214,20923,26438,80789,44220,102090,34595,150124,198696,233924,0.734803,0.673542,0.665875,0.650046,0.647184,0.645478,0.636643,0.634342,0.6317,0.625429
33,0.657848,0.743505,0.753773,2419.11,82117,226551,158174,195861,150673,178182,156991,224461,92372,114592,0.789999,0.760656,0.752007,0.743907,0.739386,0.734966,0.732657,0.729709,0.726078,0.725682
34,0.743481,0.839483,0.803573,2532.22,85092,73907,59925,17986,87850,51470,85965,80310,96286,74501,0.99171,0.984732,0.980735,0.785261,0.780602,0.777448,0.775433,0.774512,0.772038,0.772362
35,0.593199,0.670155,0.662695,2685.49,138561,179577,180658,166387,39429,139379,158660,181935,91245,77583,1,0.704821,0.662699,0.659771,0.644292,0.613924,0.610343,0.605084,0.601333,0.599279
36,0.636826,0.718855,0.676241,2785.93,218068,15022,139899,130856,144539,114535,118891,96045,108111,129878,1,0.735429,0.695199,0.686059,0.684217,0.682931,0.677455,0.675025,0.677242,0.674995
37,0.488926,0.551358,0.486405,2616.97,224737,43759,65231,167080,217712,71916,43853,241108,56311,230146,0.600868,0.584497,0.563071,0.555477,0.543666,0.541497,0.540139,0.531732,0.528542,0.524089
38,0.607521,0.684944,0.595219,2700.5,49916,10949,123195,28989,16524,13561,159260,8884,82828,124563,0.749291,0.719225,0.687338,0.683625,0.679758,0.674238,0.66951,0.667847,0.659474,0.659136
39,0.419121,0.472839,0.428892,2450.57,163218,129606,120416,119557,231715,177274,23443,28214,192227,42544,0.552003,0.503346,0.49045,0.460221,0.458534,0.458863,0.453804,0.453727,0.451835,0.445601
40,0.780098,0.88112,0.860675,2292.99,101169,108545,112837,116104,130555,124336,144074,111211,126895,72025,0.903072,0.90113,0.890939,0.887179,0.885084,0.881927,0.868533,0.866881,0.864988,0.861469
41,0.48095,0.542998,0.516567,2810.74,134271,144437,171039,147073,198358,190844,234756,207286,125122,221043,0.57128,0.56138,0.55613,0.552416,0.541796,0.532286,0.529855,0.531282,0.529463,0.524096
42,0.511963,0.579627,0.646777,2361.65,54914,170449,132385,82782,134045,125717,137438,108005,231206,70351,0.594769,0.594262,0.587958,0.585199,0.578622,0.577043,0.573307,0.570538,0.565871,0.568707
43,0.780088,0.880679,0.834864,2684.5,47114,12958,45767,23998,11496,11229,16335,70187,232099,204586,0.984673,0.984519,0.978149,0.978073,0.839287,0.833633,0.812517,0.805065,0.797382,0.793491
44,0.515321,0.581915,0.56012,2595.74,80137,115368,183331,156467,85582,158015,98890,62002,179630,230947,0.640151,0.600594,0.597419,0.5825,0.579545,0.574216,0.573344,0.559007,0.556705,0.555665
45,0.829818,0.937614,0.935633,2026.98,201882,213767,246620,235681,246191,221886,210261,242366,236861,233160,0.949185,0.943341,0.942146,0.936362,0.935772,0.93594,0.935666,0.933096,0.932657,0.931972
46,0.573816,0.6479,0.619611,2408.25,75380,153498,224275,119619,231798,14232,19744,39656,75110,147997,0.732063,0.67105,0.666166,0.657073,0.652861,0.633193,0.624717,0.617752,0.612573,0.611556
47,0.495836,0.561093,0.609832,2499.05,58311,178773,105246,192150,192711,89840,77285,53455,71532,101953,0.625903,0.586653,0.573408,0.566195,0.561267,0.558539,0.545941,0.538868,0.528677,0.52548
48,0.793761,0.895841,0.833056,961.934,2894,11935,28970,34867,48273,103938,110499,141425,116307,30242,0.999998,0.999998,0.999998,0.999998,0.999998,0.815987,0.793233,0.786713,0.783725,0.778764
49,0.600448,0.67814,0.658519,2300.5,59350,161204,242903,11818,71543,173758,166839,45344,75277,147407,0.733132,0.68303,0.680686,0.674888,0.672049,0.671116,0.670936,0.666555,0.665741,0.663269
50,0.574124,0.649478,0.693744,1964.44,72048,218818,118503,88546,74544,113022,152331,131388,81194,65905,0.776603,0.662344,0.65482,0.647023,0.64393,0.628476,0.627845,0.62128,0.619442,0.613013
51,0.779812,0.880622,0.849871,2284.65,214065,64473,56413,10895,241948,182804,95686,97882,100548,34976,0.907032,0.899722,0.895945,0.884482,0.884191,0.877262,0.869044,0.868571,0.861163,0.858807
52,0.718055,0.810458,0.757147,2504.78,137198,176110,104211,21241,199975,58866,85860,50917,120586,185485,0.829983,0.825928,0.822966,0.809976,0.810187,0.804066,0.804367,0.801102,0.800676,0.795328
53,0.876162,0.989937,0.985379,1572.44,168978,154505,187761,196381,161206,188081,177787,194436,184051,175234,0.992143,0.991137,0.990463,0.990446,0.990024,0.989617,0.989493,0.989017,0.988602,0.988426
54,0.79409,0.896915,0.875547,2049.69,223183,104455,32511,201766,41996,161855,243286,115642,18188,233350,0.907452,0.905633,0.901122,0.900777,0.897455,0.896997,0.892384,0.890154,0.888825,0.888347
55,0.51323,0.580949,0.64159,2607.03,222536,35906,42804,187269,169931,7318,221706,220803,127409,129069,0.719646,0.699434,0.63008,0.601945,0.569404,0.525219,0.522393,0.521258,0.511748,0.50836
56,0.836942,0.945677,0.944479,2113.3,213999,233149,202246,234354,244302,242326,232220,215441,210261,247082,0.951758,0.949577,0.947498,0.946574,0.946043,0.943897,0.943828,0.942569,0.94251,0.942513
57,0.610432,0.688567,0.618541,2165.16,105308,230154,44457,122035,242325,220411,145411,232789,2788,87151,0.762383,0.750687,0.69989,0.688727,0.685816,0.669372,0.667993,0.655742,0.656239,0.648819
58,0.800108,0.904226,0.913009,2168.19,63998,85027,91080,54614,66568,69189,234063,90980,82646,9357,0.917614,0.914789,0.911411,0.909826,0.903104,0.902916,0.901304,0.896745,0.893064,0.891487
59,0.567452,0.641915,0.684786,2610.32,143716,33563,105576,10339,83733,95718,34716,40832,30991,30454,0.716601,0.662386,0.651555,0.638288,0.637699,0.637699,0.623195,0.621696,0.616086,0.613947
60,0.800317,0.903661,0.865208,2307.95,204427,234603,241867,74722,239647,158902,208682,197090,204411,61622,0.949713,0.919419,0.903732,0.900252,0.897029,0.895405,0.894062,0.894604,0.891395,0.891005
61,0.650682,0.734897,0.715039,2486.5,157039,47804,152178,86121,200801,58190,125161,37322,222515,79975,0.827676,0.747527,0.738066,0.731252,0.728565,0.726105,0.718467,0.713478,0.711897,0.705938
62,0.616733,0.696769,0.69062,2549.82,232858,121817,243219,50242,90135,91084,244142,160007,226737,109757,0.722022,0.706639,0.703554,0.702271,0.697783,0.693625,0.689728,0.688139,0.683327,0.680603
63,0.338344,0.384492,0.513286,2852.58,222094,219400,220885,18590,59960,72071,231671,8714,166011,104660,0.450198,0.424279,0.399606,0.378355,0.375089,0.373181,0.367462,0.361877,0.359856,0.355018
64,0.733165,0.828289,0.819672,2495.95,168921,186675,155564,207260,176093,199061,75619,42006,238619,53199,0.978441,0.844479,0.824131,0.821166,0.82024,0.805697,0.803571,0.799192,0.797547,0.788431
65,0.725531,0.818515,0.742179,2420,22265,121683,107618,206483,64033,45747,100686,135098,139727,183651,0.901635,0.84082,0.829639,0.814237,0.811458,0.807471,0.805833,0.796394,0.793888,0.783778
66,0.627724,0.708527,0.66333,2533.26,205998,143489,129414,211250,233445,101747,83267,204622,161667,114617,0.759791,0.745779,0.726042,0.718776,0.710719,0.704136,0.688205,0.682898,0.680585,0.66834
67,0.39323,0.444822,0.473962,2678.17,229188,176661,3338,98140,197569,75361,71369,225713,54183,67347,0.927968,0.710586,0.372436,0.371086,0.352037,0.348102,0.345381,0.344201,0.339806,0.336618
68,0.511909,0.578824,0.602131,2732.28,63051,96158,86017,242002,245856,186653,197761,134914,242277,41656,0.63067,0.611008,0.589372,0.57678,0.573834,0.570857,0.563972,0.558535,0.558327,0.554881
69,0.713307,0.804896,0.739958,2305.23,137549,174469,232770,35633,8254,82100,26040,123861,107318,142369,0.873592,0.812274,0.802688,0.802745,0.800719,0.797895,0.792254,0.790207,0.788286,0.788303
70,0.798232,0.902183,0.915517,2440.95,240728,209363,231821,205295,113481,228568,69650,199541,76755,70423,0.909759,0.905861,0.902715,0.90242,0.902035,0.901626,0.899962,0.90005,0.899113,0.898292
71,0.673373,0.760281,0.725378,2663.89,241796,96679,41696,215907,215329,187146,59805,168901,45969,185335,1,0.801627,0.7846,0.77509,0.747498,0.732192,0.729946,0.683183,0.679413,0.669262
