Indexing Time: 0.003 MSec
Estimated Memory: 3.05176e-05 MB

UID,MMR,Relevance,Diversity,MSec,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,IP1,IP2,IP3,IP4,IP5,IP6,IP7,IP8,IP9,IP10
0,-0.0184409,0.574357,0.562049,1277.14,227416,75715,88378,155973,170723,240418,7061,170113,241337,15750,0.642971,0.598281,0.591488,0.586471,0.57429,0.564902,0.549233,0.546896,0.545681,0.543361
1,-0.025205,0.640131,0.660875,1313.46,184326,140829,126501,211716,68746,35907,57030,74803,34297,126647,0.663544,0.649015,0.644719,0.640498,0.63709,0.636135,0.635332,0.633143,0.632113,0.629717
2,-0.0160815,0.708169,0.643692,1469.07,52264,202,208779,130077,78031,186341,136117,69354,179771,144070,0.750525,0.749349,0.723073,0.72071,0.708971,0.698385,0.693753,0.682126,0.678857,0.675947
3,-0.0192997,0.690425,0.654387,1271.31,192585,210563,170073,147071,224921,42312,142376,57735,177391,158056,0.726384,0.710537,0.707458,0.698014,0.695255,0.684351,0.676245,0.67011,0.668967,0.666934
4,-0.00686758,0.613202,0.505095,1539.84,199790,143916,168059,61248,232882,175272,163343,102443,210093,162994,0.703174,0.654286,0.624327,0.617915,0.596519,0.591656,0.589013,0.586571,0.586227,0.58233
5,-0.0166542,0.723733,0.659463,1295.57,5506,247476,227347,23007,50675,177499,186026,97845,10961,134807,0.770456,0.748159,0.745061,0.73154,0.729775,0.723205,0.702466,0.699293,0.694263,0.693112
6,-0.0275062,0.735102,0.748269,1236.68,221130,237477,144823,35877,110738,224883,124232,200187,221548,85326,0.769061,0.759209,0.751548,0.732165,0.731453,0.730535,0.729727,0.727824,0.715036,0.704461
7,-0.0283069,0.739571,0.757511,1231.76,71641,146203,1228,183475,122464,131371,53073,112764,9434,144511,0.770442,0.739883,0.739141,0.736468,0.736149,0.736149,0.736052,0.73522,0.734703,0.731504
8,-0.0217536,0.834012,0.778924,1485.98,71498,203622,211978,247183,135652,81293,30537,123030,135682,56666,0.898924,0.873747,0.868109,0.834843,0.83131,0.826146,0.817116,0.811656,0.790659,0.787605
9,-0.0202784,0.498503,0.519471,1420.89,33823,175896,160804,197032,29695,79885,2520,111961,220788,10187,0.603425,0.560437,0.49294,0.489414,0.487009,0.486315,0.475818,0.466936,0.463056,0.459677
10,-0.0337886,0.986539,0.981056,1358.86,11248,32004,47221,36131,21516,17331,30836,25585,29195,2184,0.992752,0.988796,0.98864,0.985914,0.985865,0.985529,0.985154,0.98478,0.984033,0.983923
11,-0.0285498,0.889915,0.870677,1379.21,88486,80675,204678,214858,2715,63394,103139,221897,33495,145319,0.904075,0.900329,0.894492,0.894492,0.888987,0.888679,0.887029,0.881366,0.881114,0.878591
12,-0.0378486,0.699271,0.798339,1362.94,33037,157403,118785,31972,105365,197720,162455,147779,50858,88650,0.763551,0.719163,0.712317,0.698818,0.693092,0.692307,0.6876,0.685265,0.674538,0.666061
