Indexing Time: 8901.31 MSec
Estimated Memory: 17.486 MB

UID,MMR,Relevance,Diversity,MSec,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,IP1,IP2,IP3,IP4,IP5,IP6,IP7,IP8,IP9,IP10
0,0.295981,0.676031,0.560455,336.234,189037,194852,182368,189738,53834,197366,53776,224371,198930,169775,0.752904,0.718545,0.699501,0.683499,0.675817,0.669411,0.63333,0.645606,0.667555,0.614142
1,0.307656,0.701015,0.57135,214.799,155846,208413,188122,202128,10125,127179,146304,140805,194231,189724,0.915284,0.829047,0.77514,0.733709,0.633667,0.632939,0.630698,0.630625,0.632422,0.596623
2,0.364906,0.855313,0.836676,192.55,2291,208067,190026,156811,199693,52825,242463,67360,238276,37908,0.870818,0.865068,0.861912,0.863431,0.859337,0.852068,0.848859,0.852068,0.847476,0.832096
3,0.292381,0.68213,0.64912,196.92,173864,172475,180044,215682,192366,200076,111718,155091,219329,91289,0.741215,0.710262,0.701556,0.703378,0.687438,0.656067,0.682177,0.632076,0.660135,0.646993
4,0.245051,0.546827,0.378167,184.756,236392,12417,173693,93203,194829,22233,96208,181266,154409,204655,0.587775,0.557854,0.568028,0.548313,0.549782,0.549508,0.540448,0.538665,0.527735,0.500166
5,0.27827,0.647993,0.60969,190.649,65927,7128,79611,54282,143149,134807,133461,67823,72162,104032,0.669079,0.658572,0.659923,0.658279,0.650073,0.660628,0.63749,0.658279,0.60765,0.619957
6,0.277983,0.630941,0.499841,188.121,37366,52063,80843,28934,108969,7327,158682,237785,33304,23300,0.79234,0.739291,0.673583,0.622333,0.61759,0.590614,0.593874,0.555062,0.571481,0.553243
7,0.304074,0.702455,0.628719,186.693,230662,195830,235506,29611,206167,8386,174743,165052,18590,108888,0.785938,0.75436,0.745436,0.744706,0.705164,0.666257,0.6469,0.668014,0.660291,0.647484
8,0.304879,0.700682,0.606154,194.542,244020,128080,228509,214739,95457,191549,180295,208415,194703,209214,0.759304,0.737245,0.714451,0.699636,0.698621,0.675815,0.702409,0.684263,0.649609,0.685466
9,0.249,0.567797,0.465316,188.247,7987,11240,71644,72116,146900,104270,35130,97101,6427,72010,0.642875,0.618597,0.569992,0.561239,0.546248,0.567547,0.552904,0.564677,0.54381,0.510075
10,0.312636,0.724824,0.663679,193.752,49245,32716,11248,5222,182973,146120,38690,32004,21516,126370,0.855002,0.775256,0.729824,0.70985,0.695467,0.688284,0.706462,0.701208,0.702657,0.684234
11,0.259287,0.59276,0.494571,194.871,78552,18512,211110,116031,7200,147411,124149,208947,104070,173875,0.855009,0.786314,0.591998,0.578152,0.561087,0.524375,0.519842,0.515206,0.502765,0.492851
12,0.244056,0.587801,0.664586,184.446,238782,164933,54388,35286,16623,81200,70060,42100,180148,58712,0.612987,0.605229,0.604162,0.600288,0.591033,0.604284,0.574929,0.59328,0.587527,0.504292
13,0.295743,0.692643,0.674381,187.838,161856,167187,219550,180519,241332,186692,150152,162781,199618,173478,0.741974,0.741383,0.720955,0.722414,0.720955,0.678803,0.688533,0.68904,0.600011,0.622356
14,0.299086,0.706116,0.71962,208.539,81840,57136,38497,84993,52759,71548,137946,83783,98649,81071,0.732767,0.71435,0.70929,0.703994,0.702267,0.697802,0.706792,0.69984,0.703915,0.690144
15,0.324548,0.748386,0.661928,190.318,235091,169441,89147,211781,209867,123299,197838,24599,115383,44494,1,0.78655,0.748612,0.749901,0.7342,0.703517,0.696243,0.703732,0.686846,0.674257
16,0.19963,0.43835,0.260601,185.417,94792,100376,125421,130577,101831,104118,82794,208886,95750,141188,0.455054,0.446869,0.444059,0.448916,0.441054,0.430679,0.446403,0.437296,0.410727,0.422447
17,0.340255,0.791909,0.742664,190.682,154137,211119,188897,239624,188629,170464,212406,200258,243642,216049,0.824639,0.816892,0.816574,0.793271,0.792989,0.78143,0.778867,0.777009,0.773467,0.763957
18,0.249221,0.567382,0.459599,188.7,204901,42637,163473,197265,142995,209049,198270,123599,119278,20526,0.603564,0.593782,0.57711,0.578697,0.561709,0.558436,0.554934,0.568532,0.539488,0.537566
19,0.256758,0.588733,0.501442,218.146,205459,166353,103200,213633,196784,209191,61483,81213,214704,161371,1,0.563618,0.545228,0.547942,0.538089,0.538135,0.549821,0.539632,0.530869,0.533992
20,0.306507,0.701338,0.58883,187.316,100432,126842,98246,60597,115263,125211,57993,64832,127610,227105,0.737813,0.731959,0.729952,0.727128,0.709219,0.703814,0.674429,0.651708,0.684864,0.662492
21,0.301323,0.687642,0.566645,202.961,50737,81889,185622,64376,72367,144827,180951,93146,61655,177929,0.767136,0.729965,0.698338,0.684023,0.675048,0.689252,0.651424,0.680086,0.668936,0.632212
22,0.312654,0.720564,0.635039,192.47,37776,49086,35906,7669,5783,135119,27917,238464,210856,34000,0.853288,0.759307,0.728527,0.715841,0.707195,0.695566,0.702443,0.663695,0.6818,0.697981
23,0.308515,0.717242,0.668088,195.709,150946,81448,51959,50525,187627,98524,246797,93793,166237,157865,0.885365,0.753189,0.740782,0.736925,0.691979,0.682524,0.686904,0.678943,0.672178,0.643635
24,0.34346,0.801618,0.764656,190.929,227854,68291,18009,93695,89374,77084,230955,152147,49551,96582,0.837642,0.829741,0.820207,0.809216,0.792607,0.788244,0.795085,0.770091,0.785099,0.788244
25,0.226666,0.514262,0.406197,184.56,68478,113069,163148,63770,67358,80125,46078,83621,143112,78286,0.584946,0.57883,0.559168,0.527925,0.500771,0.500771,0.487108,0.500771,0.468918,0.433413
26,0.218812,0.494878,0.381693,183.89,42134,61708,132092,35111,64344,212802,50429,19282,97550,230330,0.542415,0.53641,0.518084,0.514524,0.470083,0.457792,0.497132,0.504311,0.450232,0.457792
27,0.270295,0.618173,0.517223,188.76,136504,146983,158162,18165,237685,17184,18400,75217,37805,240173,0.64786,0.634134,0.631926,0.613286,0.625744,0.612803,0.606423,0.612192,0.591926,0.605438
28,0.292189,0.66594,0.54375,188.111,108496,109672,43576,32563,123491,245035,111681,142571,190330,240411,0.751892,0.713438,0.697025,0.696596,0.658702,0.64143,0.65079,0.630711,0.62075,0.598062
29,0.307623,0.711996,0.645004,195.631,61226,220113,82074,160353,185172,94167,199812,205219,168497,16643,0.740939,0.727069,0.724664,0.718354,0.711916,0.708339,0.680945,0.709747,0.705112,0.692878
30,0.326287,0.765487,0.752756,187.669,199879,83109,174837,211422,188264,201957,223314,198271,24229,112746,0.818727,0.810712,0.785361,0.777964,0.774057,0.737911,0.731673,0.743155,0.73664,0.738675
31,0.318391,0.730806,0.62683,205.842,248449,9166,214417,237738,222588,219724,210387,2146,165995,85725,0.794873,0.766969,0.760927,0.732847,0.724684,0.709821,0.716381,0.715493,0.700528,0.685536
32,0.310266,0.729109,0.723855,194.049,6306,24871,9637,38431,18834,47949,8062,141207,102121,123832,0.780477,0.778852,0.771026,0.761711,0.737055,0.710762,0.696097,0.686854,0.676832,0.691426
33,0.226208,0.505029,0.350755,199.335,216620,246286,48450,110304,223009,166914,99005,86686,65738,197522,0.87434,0.489362,0.480787,0.469149,0.476666,0.456239,0.453149,0.467982,0.44091,0.44171
34,0.336442,0.777921,0.700248,234.539,128630,85516,217277,29424,80673,49104,78877,97203,75365,100791,0.886765,0.81074,0.771846,0.773841,0.768115,0.767831,0.749975,0.760835,0.737644,0.751618
35,0.37751,0.877967,0.819647,284.819,138561,200780,187845,84162,41318,86792,93908,187394,158807,84241,1,0.89889,0.888061,0.879019,0.877035,0.861254,0.855415,0.856529,0.849593,0.813876
36,0.30175,0.686318,0.55213,196.182,218068,225617,15631,204202,209776,109128,137550,215663,206222,46742,1,1,0.638182,0.624062,0.626023,0.616376,0.596968,0.581324,0.585493,0.594756
37,0.253061,0.61578,0.731052,194.482,158761,184955,75357,223631,190046,228007,156580,214655,72534,36798,0.639923,0.628793,0.627495,0.614764,0.623684,0.612463,0.617674,0.614642,0.602891,0.575468
38,0.302033,0.693545,0.59652,201.056,125360,153408,55188,64566,99363,239792,54704,237537,50362,169552,0.800112,0.708789,0.693064,0.682911,0.676476,0.6691,0.685142,0.668557,0.681408,0.669885
39,0.220884,0.503749,0.413212,189.921,12418,167041,158757,10142,215923,154819,160570,156635,239846,220788,0.730726,0.520199,0.506115,0.496114,0.474621,0.472897,0.464146,0.470177,0.430329,0.472166
40,0.274503,0.626557,0.517008,192.935,148968,127298,323,113994,103821,230776,140762,138454,111219,119715,0.690534,0.659739,0.629935,0.620836,0.624959,0.622988,0.611268,0.616162,0.589855,0.599296
41,0.319831,0.754347,0.764567,188.258,134271,149307,219937,181271,106919,242314,130281,225811,120202,180785,0.814505,0.784328,0.775867,0.758638,0.75749,0.736764,0.731812,0.736112,0.729618,0.718334
42,0.286999,0.647239,0.488268,190.599,131944,227539,72234,108489,158472,165961,189611,128353,74288,121342,0.706501,0.682019,0.672712,0.648363,0.643479,0.636381,0.640098,0.595618,0.620574,0.62664
43,0.274265,0.640829,0.615321,185.453,47114,38074,23562,197984,122609,136357,181636,44858,146218,41870,0.688246,0.684231,0.678903,0.655967,0.661031,0.636964,0.57699,0.602841,0.604325,0.618792
44,0.274086,0.638011,0.59893,207.782,173211,239177,6836,206236,41902,35069,218254,206395,159323,37266,0.661952,0.657424,0.652171,0.649071,0.641358,0.629159,0.633802,0.623251,0.610578,0.621345
45,0.330325,0.77205,0.742675,189.813,146870,182298,206147,225700,39259,214216,243125,241539,77963,241006,0.815241,0.80337,0.778223,0.776342,0.768687,0.768234,0.733102,0.765434,0.764942,0.74693
46,0.337347,0.778069,0.689167,196.386,116748,72120,75363,57531,126348,120594,180600,114822,148416,99510,0.863001,0.830965,0.828725,0.805854,0.803611,0.741068,0.73403,0.738828,0.718382,0.716224
47,0.303292,0.685957,0.529151,220.609,38661,113051,37478,245571,137708,240257,223556,5059,187411,22082,0.852687,0.707456,0.68513,0.658328,0.671331,0.667414,0.665212,0.666584,0.661953,0.623475
48,0.425,1,1,206.403,2894,3106,11935,15316,28970,31950,34867,45631,48273,102138,1,1,1,1,1,1,1,1,1,1
49,0.338238,0.774889,0.656089,191.881,175751,230576,226942,192144,79689,201361,160865,180046,149436,198449,0.846984,0.82425,0.794951,0.785971,0.78061,0.763062,0.753997,0.731287,0.735501,0.732277
50,0.353301,0.82072,0.760785,197.198,67822,79754,109200,160740,128503,2136,67192,60177,77610,92779,0.86105,0.86105,0.826152,0.82646,0.823038,0.811836,0.798115,0.806559,0.784519,0.808419
51,0.32482,0.745713,0.64048,202.986,89330,63855,93767,135459,237231,179031,200559,168823,228550,105773,0.793237,0.774727,0.765321,0.753747,0.735727,0.741407,0.721221,0.729804,0.721345,0.720594
52,0.309974,0.705835,0.572589,187.639,183815,18771,70787,216272,213969,90373,194275,161278,27225,218409,0.747135,0.725293,0.709594,0.709155,0.70691,0.700195,0.698795,0.675477,0.693664,0.692136
53,0.344775,0.799913,0.735756,191.916,230481,243625,165548,168925,226211,46261,226693,102124,207123,184764,0.907343,0.860725,0.820107,0.817801,0.796194,0.794527,0.762158,0.746304,0.74036,0.753608
54,0.334831,0.772248,0.683903,209.702,134863,18484,136115,199238,29261,135291,14369,10031,41993,123782,0.849334,0.826527,0.805434,0.772205,0.754882,0.763135,0.750041,0.744068,0.739327,0.717528
55,0.332686,0.772426,0.713699,203.211,45678,26703,101346,33278,95807,18331,48253,22638,221433,21604,0.813363,0.810978,0.789897,0.791733,0.771286,0.749952,0.764012,0.745058,0.74309,0.744895
56,0.262058,0.592568,0.456343,186.932,53832,192151,229405,164572,116467,150905,68526,242326,235599,224932,0.612045,0.611838,0.609538,0.600921,0.594349,0.585362,0.588899,0.583171,0.57224,0.567315
57,0.327441,0.749625,0.631618,189.721,77392,79898,238544,160124,52963,58699,110919,69458,40262,146987,0.865621,0.795252,0.790584,0.776663,0.757707,0.741572,0.704658,0.691473,0.684917,0.687807
58,0.316625,0.735241,0.679942,197.297,67754,51783,148159,191822,86097,56701,155819,61546,124471,219013,0.823232,0.787677,0.782712,0.742597,0.724461,0.711477,0.716458,0.693109,0.712773,0.65791
59,0.343247,0.796467,0.733154,207.491,10484,11505,122001,128483,117459,137991,111753,40266,47975,111714,0.881586,0.814568,0.810961,0.800631,0.793581,0.787934,0.779705,0.772814,0.755691,0.767203
60,0.310924,0.71735,0.636671,195.471,72662,62806,65295,62048,40844,101083,171426,93592,135265,128691,0.871785,0.786258,0.738914,0.733285,0.716221,0.654199,0.667866,0.658723,0.673667,0.672576
61,0.255975,0.575033,0.420553,191.66,28165,205010,140956,145662,110331,110406,130957,118973,3492,129673,0.80681,0.614444,0.578908,0.554192,0.523306,0.549463,0.541424,0.533571,0.522089,0.526119
62,0.319847,0.73266,0.619778,193.87,105506,50714,122795,97819,30611,73973,107988,229507,161839,95723,0.760742,0.752777,0.743548,0.734899,0.731483,0.720403,0.727937,0.718797,0.709544,0.726472
63,0.292938,0.671659,0.57189,191.47,173582,150681,112311,132025,100193,241761,188486,111664,181457,97236,0.726322,0.702772,0.694073,0.692417,0.673479,0.677956,0.662289,0.599792,0.674651,0.612837
64,0.348827,0.813074,0.769462,190.488,168921,225829,240772,221413,7364,201154,182332,97276,81085,188443,0.829898,0.829757,0.827373,0.812052,0.815507,0.806749,0.807971,0.803656,0.797296,0.800478
65,0.323151,0.750673,0.695813,197.638,227432,228707,31587,161776,241600,237019,224090,234284,44308,166008,0.785312,0.767085,0.765244,0.752029,0.767085,0.74654,0.738002,0.739351,0.741718,0.704369
66,0.295601,0.673232,0.546859,187.746,1888,36414,204650,43244,35339,58711,62356,20633,230179,10242,0.85712,0.714412,0.691728,0.662879,0.665243,0.655898,0.655898,0.623866,0.61184,0.593433
67,0.298191,0.69957,0.687918,198.733,14724,167558,155852,117080,216062,216837,107091,53726,190842,67217,0.727798,0.72073,0.713167,0.717166,0.717228,0.67706,0.679393,0.701783,0.643554,0.69782
68,0.316328,0.733434,0.671856,188.081,168615,215879,161981,211421,206218,139858,214447,65849,108023,197471,0.806838,0.769844,0.761705,0.748958,0.745816,0.738227,0.716058,0.681592,0.705811,0.659487
69,0.353893,0.818638,0.739006,206.958,228967,209271,201223,117661,218773,42574,158450,202215,233462,203690,0.881655,0.838632,0.830787,0.824406,0.814534,0.795213,0.80183,0.798013,0.805545,0.795763
70,0.2676,0.613999,0.525319,203.222,56182,529,279,124742,52364,3497,112473,111570,161342,23701,0.648072,0.640702,0.631929,0.61944,0.6167,0.612971,0.619976,0.603331,0.584393,0.562472
71,0.299621,0.689465,0.601483,225.766,241796,188810,153439,92060,200445,190144,193674,166933,7481,232732,1,0.66728,0.661694,0.653795,0.65723,0.650839,0.655796,0.64676,0.656953,0.644305
72,0.19401,0.431867,0.292314,184.968,169851,127981,158834,134228,122692,225687,112997,194110,245357,83938,0.48151,0.460539,0.473739,0.424018,0.42555,0.428259,0.383994,0.431328,0.428259,0.381471
73,0.315429,0.728849,0.653278,199.358,79776,54185,92664,64688,94982,178134,92590,83778,173210,226943,0.775941,0.749513,0.729089,0.729327,0.729211,0.701994,0.717956,0.718539,0.715901,0.721017
74,0.26756,0.612795,0.517827,190.77,155464,117946,177366,179378,153043,127507,115968,247909,165615,149698,0.683817,0.667943,0.623564,0.620811,0.618941,0.614453,0.616021,0.565677,0.584588,0.532133
75,0.213206,0.482797,0.375892,183.669,223518,239795,72116,106662,248719,69147,103043,79597,78476,59184,0.546477,0.497144,0.488716,0.477994,0.497144,0.474608,0.479766,0.481134,0.4774,0.407585
76,0.311639,0.720871,0.650622,192.425,78491,40509,38523,159171,239363,51744,14025,190137,24701,72674,0.755914,0.730523,0.729725,0.722564,0.718655,0.71299,0.708163,0.713479,0.707185,0.709509
77,0.256339,0.59573,0.553679,191.551,154688,221460,155991,165081,175129,179496,210072,184512,160520,188399,0.685965,0.663104,0.613129,0.597355,0.576199,0.587025,0.600951,0.581912,0.517282,0.534381
78,0.358052,0.839417,0.822089,201.511,135822,58093,164157,175217,12261,202548,117250,5284,211400,46537,0.866268,0.858892,0.856778,0.851045,0.847587,0.831661,0.832211,0.819896,0.828494,0.801336
