Indexing Time: 8496.03 MSec
Estimated Memory: 17.486 MB

UID,MMR,Relevance,Diversity,MSec,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,IP1,IP2,IP3,IP4,IP5,IP6,IP7,IP8,IP9,IP10
0,0.215785,0.656716,0.521132,613.03,189037,189738,53834,197366,224371,53776,207787,64709,67858,166262,0.752904,0.683499,0.675817,0.669411,0.645606,0.63333,0.646341,0.601765,0.615903,0.642584
1,0.214035,0.646848,0.496714,438.452,155846,188122,10125,194231,189724,74869,159433,201980,248426,179649,0.915284,0.77514,0.633667,0.632422,0.596623,0.575181,0.605391,0.577797,0.583892,0.573088
2,0.26237,0.835379,0.797573,309.749,2291,190026,199693,67360,238276,230859,181696,231681,213705,181604,0.870818,0.861912,0.859337,0.852068,0.847476,0.837746,0.819851,0.809926,0.812006,0.782649
3,0.212143,0.658823,0.570954,388.419,173864,180044,192366,200076,117069,91289,85332,158022,164668,187431,0.741215,0.701556,0.687438,0.656067,0.664357,0.646993,0.618167,0.659835,0.585097,0.627503
4,0.179945,0.523841,0.328789,312.595,236392,12417,22233,96208,179299,204655,230564,154636,246348,91801,0.587775,0.557854,0.549508,0.540448,0.526316,0.500166,0.513222,0.507574,0.462741,0.492804
5,0.201229,0.621598,0.526775,395.986,134807,54282,79611,143149,72162,104032,140048,170920,174524,208554,0.660628,0.658279,0.659923,0.650073,0.60765,0.619957,0.601097,0.606782,0.522783,0.628806
6,0.192677,0.582013,0.445867,312.251,37366,28934,7327,158682,237785,187655,64816,245576,59497,198142,0.79234,0.622333,0.590614,0.593874,0.555062,0.556054,0.521741,0.539106,0.534182,0.514828
7,0.214323,0.661698,0.559506,324.556,230662,235506,206167,165052,18590,150640,67851,165704,140077,41568,0.785938,0.745436,0.705164,0.668014,0.660291,0.645545,0.645948,0.599811,0.579445,0.581384
8,0.22287,0.683977,0.563566,334.031,244020,95457,214739,191549,208415,121489,233227,238801,56611,187260,0.759304,0.698621,0.699636,0.675815,0.684263,0.684989,0.65317,0.668716,0.678879,0.636377
9,0.180675,0.537845,0.38292,307.057,7987,71644,35130,97101,6427,69043,229757,106963,118854,199304,0.642875,0.569992,0.552904,0.564677,0.54381,0.536518,0.502051,0.501392,0.477185,0.487042
10,0.222625,0.688936,0.588329,339.676,49245,5222,38690,182973,32004,18752,37869,164205,4112,33246,0.855002,0.70985,0.706462,0.695467,0.701208,0.688634,0.659545,0.65742,0.590056,0.625715
11,0.178853,0.531035,0.372897,336.845,78552,211110,147411,208947,104070,55087,89684,3728,123569,190992,0.855009,0.591998,0.524375,0.515206,0.502765,0.479659,0.450909,0.48075,0.426162,0.483518
12,0.17444,0.536661,0.446939,334.175,238782,81200,16623,28355,14523,92122,58712,39139,212456,104317,0.612987,0.604284,0.591033,0.591212,0.589476,0.554804,0.504292,0.46945,0.421769,0.427301
13,0.201468,0.616731,0.502498,360.652,167187,219550,150152,186692,173478,173046,218081,232651,65993,231557,0.741383,0.720955,0.688533,0.678803,0.622356,0.617614,0.58113,0.500942,0.45097,0.564624
14,0.216584,0.69617,0.687596,515.182,57136,52759,84993,71548,98649,31130,183680,64177,108776,124055,0.71435,0.702267,0.703994,0.697802,0.703915,0.690147,0.679224,0.700601,0.687361,0.682039
15,0.231311,0.709005,0.58101,324.272,235091,211781,24599,197838,110512,227248,104073,163712,245562,16509,1,0.749901,0.703732,0.696243,0.689269,0.673606,0.678933,0.651968,0.627337,0.619061
16,0.149254,0.420572,0.210826,319.584,130577,100376,82794,104118,141188,32386,140940,257,44881,27057,0.448916,0.446869,0.446403,0.430679,0.422447,0.41534,0.412621,0.402641,0.397893,0.38191
17,0.24539,0.77724,0.727849,363.054,154137,188897,188629,212406,216436,216049,246392,222375,229247,171616,0.824639,0.816574,0.792989,0.778867,0.773762,0.763957,0.751376,0.756488,0.753995,0.759753
18,0.183164,0.549027,0.40496,343.099,204901,163473,142995,198270,202546,188480,20526,34575,204750,119278,0.603564,0.57711,0.561709,0.554934,0.567175,0.528191,0.537566,0.53126,0.48927,0.539488
19,0.18909,0.56513,0.410686,518.395,205459,61483,81213,209191,55354,66704,226360,208001,102046,19046,1,0.549821,0.539632,0.538135,0.529139,0.536702,0.536383,0.489538,0.499773,0.432179
20,0.222136,0.669688,0.508213,397.21,126842,98246,125211,57993,64832,84000,118399,26259,107877,20290,0.731959,0.729952,0.703814,0.674429,0.651708,0.657913,0.660559,0.634547,0.631565,0.62043
21,0.221464,0.672054,0.526189,458.698,50737,185622,72367,67119,61655,50229,168045,70632,70602,56635,0.767136,0.698338,0.675048,0.67784,0.668936,0.634531,0.666384,0.618297,0.645906,0.66812
22,0.2254,0.689944,0.561977,319.962,37776,7669,5783,135119,34000,37296,239300,9134,221240,35336,0.853288,0.715841,0.707195,0.695566,0.697981,0.653117,0.674967,0.638665,0.604193,0.658633
23,0.22317,0.69037,0.588641,382.127,150946,50525,187627,219822,210185,157865,75537,225942,243927,46257,0.885365,0.736925,0.691979,0.682003,0.662205,0.643635,0.661843,0.68301,0.614631,0.642102
24,0.249186,0.772431,0.664298,345.366,68291,18009,230955,96582,152147,51344,205937,43821,203540,191818,0.829741,0.820207,0.795085,0.788244,0.770091,0.783771,0.701119,0.759774,0.717919,0.758361
25,0.160924,0.473313,0.31557,309.642,68478,63770,67358,83621,143112,78286,238609,130754,84815,89107,0.584946,0.527925,0.500771,0.500771,0.468918,0.433413,0.443795,0.43513,0.412371,0.425091
26,0.161191,0.467077,0.28489,310.514,61708,132092,50429,212802,1550,97550,102111,83572,48479,129882,0.53641,0.518084,0.497132,0.457792,0.508491,0.450232,0.43157,0.459839,0.45694,0.354284
27,0.198042,0.604968,0.488277,383.807,146983,158162,18165,75217,240173,148658,29917,172554,11344,77189,0.634134,0.631926,0.613286,0.612192,0.605438,0.61368,0.588566,0.590475,0.575982,0.583994
28,0.210542,0.630878,0.464543,368.284,109672,43576,245035,111681,142571,4496,240411,114269,14498,178762,0.713438,0.697025,0.64143,0.65079,0.630711,0.607053,0.598062,0.564362,0.586567,0.619346
29,0.224069,0.699877,0.620914,420.866,61226,82074,205219,168497,199812,70871,76284,66107,177273,50023,0.740939,0.724664,0.709747,0.705112,0.680945,0.701661,0.686554,0.696112,0.659654,0.693383
30,0.232015,0.722384,0.63265,368.149,83109,174837,188264,201957,223314,120496,240134,151521,56559,201325,0.810712,0.785361,0.774057,0.737911,0.731673,0.737161,0.734986,0.725538,0.660575,0.525867
31,0.232751,0.710073,0.569757,489.442,248449,237738,222588,2146,111372,132658,85725,68059,147488,67355,0.794873,0.732847,0.724684,0.715493,0.689812,0.691918,0.685536,0.716585,0.683581,0.665402
32,0.219276,0.67254,0.552664,397.68,6306,38431,18834,141207,123832,44698,16672,52941,66074,101269,0.780477,0.761711,0.737055,0.686854,0.691426,0.601765,0.656111,0.62393,0.581583,0.604484
33,0.167508,0.493352,0.331478,341.993,216620,223009,86686,175472,65738,191459,110216,123645,235035,167782,0.87434,0.476666,0.467982,0.471821,0.44091,0.461504,0.448233,0.41876,0.43601,0.437295
