Indexing Time: 0.003 MSec
Estimated Memory: 3.05176e-05 MB

UID,MMR,Relevance,Diversity,MSec,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,IP1,IP2,IP3,IP4,IP5,IP6,IP7,IP8,IP9,IP10
0,0.227953,0.683882,0.633326,116.545,189037,194852,182368,189738,181788,53834,197366,198930,207787,224371,0.752904,0.718545,0.699501,0.683499,0.679638,0.675817,0.669411,0.667555,0.646341,0.645606
1,0.238483,0.702402,0.589973,119.075,155846,208413,188122,202128,10125,127179,194231,146304,140805,248982,0.915284,0.829047,0.77514,0.733709,0.633667,0.632939,0.632422,0.630698,0.630625,0.610494
2,0.281341,0.855878,0.847367,113.972,2291,208067,156811,190026,199693,52825,67360,242463,238276,230859,0.870818,0.865068,0.863431,0.861912,0.859337,0.852068,0.852068,0.848859,0.847476,0.837746
3,0.223881,0.686642,0.705224,117.551,173864,172475,215682,180044,192366,111718,117069,219329,158022,200076,0.741215,0.710262,0.703378,0.701556,0.687438,0.682177,0.664357,0.660135,0.659835,0.656067
4,0.191268,0.549442,0.39596,119.011,236392,173693,12417,194829,22233,93203,96208,181266,154409,179299,0.587775,0.568028,0.557854,0.549782,0.549508,0.548313,0.540448,0.538665,0.527735,0.526316
5,0.213483,0.654754,0.672478,117.714,65927,134807,79611,7128,54282,67823,143149,3632,129156,133461,0.669079,0.660628,0.659923,0.658572,0.658279,0.658279,0.650073,0.648498,0.646723,0.63749
6,0.215873,0.631222,0.508549,118.736,37366,52063,80843,28934,108969,158682,7327,33304,187655,237785,0.79234,0.739291,0.673583,0.622333,0.61759,0.593874,0.590614,0.571481,0.556054,0.555062
7,0.235714,0.702455,0.628719,118.179,230662,195830,235506,29611,206167,165052,8386,18590,108888,174743,0.785938,0.75436,0.745436,0.744706,0.705164,0.668014,0.666257,0.660291,0.647484,0.6469
8,0.232962,0.706376,0.68873,118.034,244020,128080,228509,180295,214739,95457,109186,209214,121489,223824,0.759304,0.737245,0.714451,0.702409,0.699636,0.698621,0.697091,0.685466,0.684989,0.684548
9,0.19336,0.570441,0.48356,118.327,7987,11240,71644,104270,97101,72116,35130,146900,6427,69043,0.642875,0.618597,0.569992,0.567547,0.564677,0.561239,0.552904,0.546248,0.54381,0.536518
10,0.241464,0.725264,0.675575,118.512,49245,32716,11248,5222,38690,21516,32004,182973,18752,146120,0.855002,0.775256,0.729824,0.70985,0.706462,0.702657,0.701208,0.695467,0.688634,0.688284
11,0.201117,0.593464,0.50373,114.418,78552,18512,211110,116031,7200,147411,124149,208947,104070,215741,0.855009,0.786314,0.591998,0.578152,0.561087,0.524375,0.519842,0.515206,0.502765,0.499891
12,0.185455,0.597948,0.746167,113.82,238782,164933,81200,54388,35286,42100,28355,16623,14523,180148,0.612987,0.605229,0.604284,0.604162,0.600288,0.59328,0.591212,0.591033,0.589476,0.587527
13,0.226959,0.694598,0.706674,115.849,161856,167187,180519,219550,241332,162781,150152,186692,173478,220200,0.741974,0.741383,0.722414,0.720955,0.720955,0.68904,0.688533,0.678803,0.622356,0.619567
14,0.229226,0.708473,0.752263,114.433,81840,57136,38497,137946,125127,146223,84993,98649,52759,64177,0.732767,0.71435,0.70929,0.706792,0.705379,0.705379,0.703994,0.703915,0.702267,0.700601
15,0.250457,0.749895,0.687517,116.148,235091,169441,211781,89147,209867,24599,123299,197838,110512,206069,1,0.78655,0.749901,0.748612,0.7342,0.703732,0.703517,0.696243,0.689269,0.686923
16,0.153775,0.440821,0.313239,114.362,94792,130577,100376,82794,125421,101831,208886,134711,104118,241945,0.455054,0.448916,0.446869,0.446403,0.444059,0.441054,0.437296,0.432784,0.430679,0.425092
17,0.26318,0.79289,0.74967,112.552,154137,211119,188897,239624,188629,170464,212406,200258,216436,243642,0.824639,0.816892,0.816574,0.793271,0.792989,0.78143,0.778867,0.777009,0.773762,0.773467
18,0.19073,0.573342,0.536212,113.149,204901,42637,197265,163473,123599,202546,219129,142995,2865,209049,0.603564,0.593782,0.578697,0.57711,0.568532,0.567175,0.564594,0.561709,0.559819,0.558436
19,0.198506,0.589555,0.518273,111.106,205459,166353,61483,213633,103200,81213,209191,196784,66704,209096,1,0.563618,0.549821,0.547942,0.545228,0.539632,0.538135,0.538089,0.536702,0.536383
20,0.237409,0.70289,0.607595,111.217,100432,126842,98246,60597,115263,125211,127610,57993,102014,227105,0.737813,0.731959,0.729952,0.727128,0.709219,0.703814,0.684864,0.674429,0.667226,0.662492
21,0.231377,0.695338,0.649417,111.127,50737,81889,185622,144827,64376,88389,93146,67119,72367,61655,0.767136,0.729965,0.698338,0.689252,0.684023,0.682755,0.680086,0.67784,0.675048,0.668936
22,0.241419,0.721742,0.656634,114.52,37776,49086,35906,7669,5783,27917,34000,135119,210856,10277,0.853288,0.759307,0.728527,0.715841,0.707195,0.702443,0.697981,0.695566,0.6818,0.675475
23,0.236906,0.722565,0.723898,115.998,150946,81448,51959,50525,187627,246797,225942,30090,98524,219822,0.885365,0.753189,0.740782,0.736925,0.691979,0.686904,0.68301,0.682974,0.682524,0.682003
24,0.264602,0.802986,0.786003,115.585,227854,68291,18009,93695,230955,89374,77084,96582,49551,51344,0.837642,0.829741,0.820207,0.809216,0.795085,0.792607,0.788244,0.788244,0.785099,0.783771
25,0.172667,0.524183,0.513975,113.451,68478,113069,163148,63770,67358,80125,83621,86316,91643,46078,0.584946,0.57883,0.559168,0.527925,0.500771,0.500771,0.500771,0.500771,0.500771,0.487108
26,0.159164,0.510628,0.626219,113.971,42134,61708,132092,35111,1550,19282,50429,60263,213800,47992,0.542415,0.53641,0.518084,0.514524,0.508491,0.504311,0.497132,0.497132,0.494744,0.493038
27,0.209134,0.620351,0.541762,114.239,136504,146983,158162,237685,148658,18165,17184,75217,18400,131360,0.64786,0.634134,0.631926,0.625744,0.61368,0.613286,0.612803,0.612192,0.606423,0.605463
28,0.225572,0.669962,0.589065,115.13,108496,109672,43576,32563,123491,111681,245035,108729,142571,147077,0.751892,0.713438,0.697025,0.696596,0.658702,0.65079,0.64143,0.637851,0.630711,0.621187
29,0.23568,0.715158,0.699771,114.293,61226,220113,82074,160353,185172,205219,94167,168497,85397,194508,0.740939,0.727069,0.724664,0.718354,0.711916,0.709747,0.708339,0.705112,0.703124,0.70232
30,0.251426,0.766036,0.763735,112.617,199879,83109,174837,211422,188264,198271,112746,201957,120496,24229,0.818727,0.810712,0.785361,0.777964,0.774057,0.743155,0.738675,0.737911,0.737161,0.73664
31,0.245168,0.735672,0.681955,112.104,248449,9166,214417,237738,222588,68059,210387,2146,68353,114408,0.794873,0.766969,0.760927,0.732847,0.724684,0.716585,0.716381,0.715493,0.714564,0.713392
32,0.239526,0.729109,0.723855,114.996,6306,24871,9637,38431,18834,47949,8062,123832,141207,102121,0.780477,0.778852,0.771026,0.761711,0.737055,0.710762,0.696097,0.691426,0.686854,0.676832
33,0.172547,0.51325,0.45491,115.653,216620,246286,48450,223009,175472,208991,110304,86686,103887,178020,0.87434,0.489362,0.480787,0.476666,0.471821,0.469538,0.469149,0.467982,0.466663,0.466194
34,0.258009,0.779632,0.747833,113.291,128630,85516,29424,217277,80673,49104,97203,105960,100791,65420,0.886765,0.81074,0.773841,0.771846,0.768115,0.767831,0.760835,0.75332,0.751618,0.751408
35,0.291824,0.878209,0.825825,112.372,138561,200780,187845,84162,41318,86792,187394,93908,158807,209005,1,0.89889,0.888061,0.879019,0.877035,0.861254,0.856529,0.855415,0.849593,0.816291
36,0.234774,0.686318,0.552129,113.193,218068,225617,15631,209776,204202,109128,137550,46742,206222,215663,1,1,0.638182,0.626023,0.624062,0.616376,0.596968,0.594756,0.585493,0.581324
37,0.193476,0.61728,0.742162,113.025,158761,184955,75357,190046,156580,223631,214655,228007,72534,220185,0.639923,0.628793,0.627495,0.623684,0.617674,0.614764,0.614642,0.612463,0.602891,0.590467
38,0.233177,0.69369,0.615262,116.238,125360,153408,55188,54704,64566,50362,99363,97038,169552,239792,0.800112,0.708789,0.693064,0.685142,0.682911,0.681408,0.676476,0.670009,0.669885,0.6691
39,0.170242,0.506638,0.450192,111.742,12418,167041,158757,10142,215923,154819,220788,156635,160570,177379,0.730726,0.520199,0.506115,0.496114,0.474621,0.472897,0.472166,0.470177,0.464146,0.459223
40,0.212565,0.627501,0.533819,111.107,148968,127298,323,103821,230776,113994,138454,140762,119715,138068,0.690534,0.659739,0.629935,0.624959,0.622988,0.620836,0.616162,0.611268,0.599296,0.599296
41,0.246543,0.755082,0.770695,113.798,134271,149307,219937,181271,106919,242314,225811,130281,120202,129173,0.814505,0.784328,0.775867,0.758638,0.75749,0.736764,0.736112,0.731812,0.729618,0.725682
42,0.221706,0.650917,0.53695,112.26,131944,227539,72234,108489,158472,189611,165961,158195,121342,190782,0.706501,0.682019,0.672712,0.648363,0.643479,0.640098,0.636381,0.627016,0.62664,0.625962
43,0.207795,0.643839,0.690848,111.521,47114,38074,23562,122609,197984,136357,41870,231165,146218,232639,0.688246,0.684231,0.678903,0.661031,0.655967,0.636964,0.618792,0.605935,0.604325,0.604
44,0.209903,0.641453,0.648304,111.593,173211,239177,6836,206236,41902,241846,218254,35069,246446,67245,0.661952,0.657424,0.652171,0.649071,0.641358,0.63823,0.633802,0.629159,0.627782,0.623577
45,0.253821,0.775729,0.784311,112.815,146870,182298,206147,225700,39259,214216,241539,77963,118646,245254,0.815241,0.80337,0.778223,0.776342,0.768687,0.768234,0.765434,0.764942,0.759508,0.75731
46,0.261607,0.778069,0.689167,110.211,116748,72120,75363,57531,126348,120594,114822,180600,148416,99510,0.863001,0.830965,0.828725,0.805854,0.803611,0.741068,0.738828,0.73403,0.718382,0.716224
47,0.233523,0.691883,0.600426,111.75,38661,113051,37478,10284,137708,240257,5059,82597,223556,187411,0.852687,0.707456,0.68513,0.675087,0.671331,0.667414,0.666584,0.665979,0.665212,0.661953
48,0.328,1,1,112.164,2894,3106,11935,15316,28970,31950,34867,45631,48273,102138,1,1,1,1,1,1,1,1,1,1
49,0.260908,0.778807,0.702982,114.129,175751,230576,226942,192144,79689,201361,160865,228636,226538,149436,0.846984,0.82425,0.794951,0.785971,0.78061,0.763062,0.753997,0.752634,0.750114,0.735501
50,0.271999,0.823716,0.798439,111.502,67822,79754,160740,109200,128503,2136,92779,60177,179430,110151,0.86105,0.86105,0.82646,0.826152,0.823038,0.811836,0.808419,0.806559,0.806329,0.806266
51,0.250745,0.748688,0.676817,112.212,89330,63855,93767,135459,179031,237231,88669,106453,75425,168823,0.793237,0.774727,0.765321,0.753747,0.741407,0.735727,0.732361,0.730641,0.729913,0.729804
52,0.239989,0.707707,0.598516,113.218,183815,18771,70787,216272,213969,90373,194275,64315,27225,218409,0.747135,0.725293,0.709594,0.709155,0.70691,0.700195,0.698795,0.694188,0.693664,0.692136
53,0.266991,0.799913,0.735756,111.097,230481,243625,165548,168925,226211,46261,226693,184764,102124,207123,0.907343,0.860725,0.820107,0.817801,0.796194,0.794527,0.762158,0.753608,0.746304,0.74036
54,0.258903,0.772884,0.697922,111.037,134863,18484,136115,199238,135291,29261,14369,10031,41993,62796,0.849334,0.826527,0.805434,0.772205,0.763135,0.754882,0.750041,0.744068,0.739327,0.723888
55,0.255241,0.774535,0.75796,110.914,45678,26703,33278,101346,95807,48253,39020,34397,18331,7403,0.813363,0.810978,0.791733,0.789897,0.771286,0.764012,0.755061,0.750501,0.749952,0.748563
56,0.203545,0.59318,0.468423,111.602,53832,192151,229405,164572,116467,68526,150905,242326,121441,235599,0.612045,0.611838,0.609538,0.600921,0.594349,0.588899,0.585362,0.583171,0.573433,0.57224
57,0.252586,0.750983,0.663993,113.162,77392,79898,238544,160124,52963,58699,110919,126299,193757,219611,0.865621,0.795252,0.790584,0.776663,0.757707,0.741572,0.704658,0.693802,0.691996,0.691978
58,0.243508,0.739687,0.727316,112.056,67754,51783,148159,191822,86097,155819,124471,56701,73877,58120,0.823232,0.787677,0.782712,0.742597,0.724461,0.716458,0.712773,0.711477,0.698688,0.696798
59,0.264771,0.798427,0.758336,111.496,10484,11505,122001,128483,117459,137991,111753,40266,147871,133726,0.881586,0.814568,0.810961,0.800631,0.793581,0.787934,0.779705,0.772814,0.771976,0.770518
60,0.236309,0.719635,0.715905,114.958,72662,62806,65295,62048,40844,135265,128691,92335,171426,230286,0.871785,0.786258,0.738914,0.733285,0.716221,0.673667,0.672576,0.671151,0.667866,0.664625
61,0.198979,0.575379,0.432947,113.8,28165,205010,140956,145662,110406,130957,118973,129673,127874,110331,0.80681,0.614444,0.578908,0.554192,0.549463,0.541424,0.533571,0.526119,0.525554,0.523306
62,0.246986,0.734896,0.652387,113.264,105506,50714,122795,97819,30611,56246,107988,95723,73973,74437,0.760742,0.752777,0.743548,0.734899,0.731483,0.730909,0.727937,0.726472,0.720403,0.719788
