Indexing Time: 22967.4 MSec
Estimated Memory: 39.3081 MB

UID,MMR,Relevance,Diversity,MSec,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,IP1,IP2,IP3,IP4,IP5,IP6,IP7,IP8,IP9,IP10
0,0.164586,0.8015,0.722511,3693.22,182368,189037,189738,181788,218719,211203,173574,166579,152580,198930,0.850348,0.841289,0.83413,0.829659,0.796017,0.791037,0.76599,0.808595,0.791278,0.706657
1,0.168036,0.805892,0.70221,3384.16,155846,202128,74869,208413,188122,72027,178725,184225,22654,244077,0.928901,0.886444,0.865121,0.866702,0.818132,0.8087,0.747344,0.712224,0.70728,0.718072
2,0.181049,0.902414,0.854054,3306.8,208067,190026,214052,37908,230859,246312,191624,181604,186603,136747,0.928309,0.920455,0.923405,0.920116,0.918251,0.903695,0.878201,0.887965,0.897436,0.846307
3,0.159297,0.772259,0.689343,3037.77,215682,64779,151309,169905,60204,142480,199702,198406,219351,195042,0.815624,0.814988,0.802343,0.801503,0.80709,0.801874,0.703306,0.765395,0.61588,0.794589
4,0.131271,0.620912,0.523834,3264.33,165976,61869,61490,165379,216660,97162,11568,79816,12417,60506,0.651038,0.629547,0.648708,0.626827,0.640119,0.621299,0.617924,0.59162,0.59546,0.586576
5,0.163217,0.822976,0.796915,3435.26,55989,46142,129156,79611,54282,90361,121190,205184,67823,55174,0.859677,0.84991,0.841709,0.839645,0.839478,0.835542,0.803628,0.825742,0.839478,0.694956
6,0.164228,0.784682,0.677868,3363.98,37366,52063,126890,64816,80843,85766,28934,129536,24315,4797,0.914737,0.876193,0.815674,0.813494,0.810249,0.762877,0.70941,0.727602,0.727195,0.689389
7,0.165691,0.794811,0.692878,3400.67,230662,195830,206167,29611,103248,108888,38022,13005,118485,237021,0.882229,0.819557,0.808473,0.807886,0.767532,0.807659,0.760153,0.767274,0.797682,0.72967
8,0.161374,0.762646,0.64209,3462.68,95236,234525,193541,187260,179679,209214,206350,239199,211855,102684,0.80634,0.80179,0.793564,0.75987,0.785575,0.792658,0.781125,0.685741,0.684825,0.734971
9,0.153427,0.741122,0.65628,3002.57,146900,7987,11153,104270,106963,72116,6427,102438,106406,31302,0.784554,0.767175,0.774041,0.769342,0.743004,0.768145,0.760505,0.69424,0.645754,0.704458
10,0.159008,0.797338,0.763742,3266.3,126370,121762,49245,146120,191105,11248,13333,160691,21027,111812,0.84843,0.835117,0.81574,0.823651,0.808057,0.775467,0.800095,0.779154,0.741087,0.746585
11,0.163763,0.78357,0.679121,3266.19,78552,18512,116031,7200,211110,1886,104070,147411,60385,48035,0.953486,0.937765,0.803974,0.764154,0.76241,0.737445,0.762261,0.7361,0.727656,0.650455
12,0.152257,0.742626,0.671726,3413.46,52462,164933,98901,142228,164173,70060,146030,106129,16623,123963,0.793822,0.791007,0.787375,0.759986,0.748182,0.749408,0.747575,0.683148,0.738877,0.626884
13,0.161544,0.758066,0.627393,3382.15,161856,219550,180519,186692,201750,167659,154811,173478,60119,174820,0.913831,0.776418,0.778988,0.761888,0.731004,0.753753,0.72723,0.720178,0.694913,0.722457
14,0.156527,0.767654,0.702561,3383.86,140332,125052,125127,99639,120336,68214,96913,41764,90228,63696,0.794256,0.784847,0.789192,0.774738,0.78236,0.788873,0.771264,0.772041,0.752984,0.665986
15,0.170058,0.830555,0.753417,3077.56,235091,169441,134422,81089,123299,127875,79592,162028,124672,113931,1,0.856974,0.830541,0.824267,0.809175,0.79969,0.803701,0.80271,0.778665,0.799827
16,0.14724,0.704316,0.610048,2736.4,121590,188209,156012,69514,174666,27057,10291,145608,174453,22962,0.812813,0.768982,0.750813,0.709,0.708525,0.635973,0.682953,0.673109,0.705257,0.595736
17,0.173563,0.843827,0.757951,3234.31,211119,154137,239624,222375,152376,200258,188629,66603,218274,246392,0.904104,0.885066,0.876482,0.842228,0.847205,0.831183,0.828668,0.775904,0.825975,0.821451
18,0.145968,0.696166,0.598878,3381.45,134400,206747,124155,221663,10623,104342,142620,165438,169137,10188,0.765783,0.747684,0.739423,0.67038,0.681018,0.689026,0.723598,0.626651,0.661878,0.656218
19,0.152903,0.734448,0.642201,3368.41,205459,221288,200445,133975,152944,113543,225273,219405,63780,239894,1,0.728766,0.712795,0.709083,0.71252,0.692296,0.728766,0.670171,0.702549,0.687535
20,0.163197,0.779217,0.672078,2906.11,1072,86262,26259,29845,89903,139431,137069,96907,6649,133944,0.822025,0.811205,0.797001,0.794548,0.776683,0.786007,0.783665,0.737908,0.77699,0.706136
21,0.161354,0.776497,0.681861,3236.71,50737,93146,55928,64376,179413,189972,83620,246502,57341,93823,0.920936,0.79178,0.792475,0.775915,0.780164,0.75677,0.761866,0.735048,0.76797,0.682048
22,0.162366,0.782661,0.689828,3183.02,37776,34000,135051,7669,35906,49086,27917,2004,5783,195965,0.894172,0.840552,0.797813,0.797882,0.791675,0.779307,0.803848,0.722922,0.767822,0.630616
23,0.15921,0.771551,0.688143,3385.17,150946,185449,209453,162744,237578,78763,91792,232795,153396,79300,0.874242,0.790612,0.774504,0.762494,0.771788,0.757576,0.761496,0.756051,0.719355,0.74739
24,0.168421,0.836388,0.785674,3019.42,77084,96582,93695,111644,170269,240573,64714,89374,75553,152147,0.879678,0.879678,0.865879,0.8493,0.817815,0.841393,0.836405,0.80308,0.816915,0.773737
25,0.145309,0.670776,0.532611,2932.92,46078,163148,68478,143112,33704,61865,63770,71036,41187,124289,0.787113,0.732547,0.696369,0.693153,0.617187,0.644257,0.6613,0.64315,0.598643,0.634038
26,0.161156,0.796782,0.741698,3349.68,83462,60764,123422,60122,42134,211795,11842,47992,208426,50429,0.856484,0.824473,0.811417,0.803539,0.792731,0.777314,0.805784,0.77904,0.744931,0.772103
27,0.145019,0.694983,0.60453,3226.74,172554,214503,215019,222628,117753,88517,140663,33969,28177,229069,0.733051,0.726368,0.721318,0.713685,0.698094,0.69365,0.685673,0.669166,0.66204,0.646783
28,0.161621,0.778559,0.685205,3288.57,108496,32563,4496,105470,169373,123636,208960,240411,178762,13360,0.858846,0.815808,0.807924,0.773299,0.790078,0.776333,0.744285,0.737584,0.786255,0.695179
29,0.160028,0.774023,0.687418,3288.47,82074,184975,65326,152700,113207,171906,79450,181047,211204,147149,0.873977,0.786327,0.786752,0.775811,0.772688,0.775402,0.757799,0.73741,0.75551,0.718552
30,0.165243,0.805857,0.728703,3089.85,83109,199879,188264,186884,167521,222341,229270,151521,193414,223314,0.896039,0.887506,0.822834,0.819061,0.808885,0.814068,0.776952,0.813008,0.648423,0.771797
31,0.171053,0.831787,0.747458,3418.18,9166,248449,177591,76370,100371,85967,196810,128860,71057,230249,0.899414,0.888931,0.835273,0.831221,0.82118,0.825719,0.814882,0.818948,0.788365,0.793935
32,0.152043,0.729208,0.635426,3262.81,141207,25563,24871,18834,47251,6885,121786,9637,131667,155185,0.766685,0.76585,0.759004,0.747226,0.739958,0.744636,0.715802,0.750014,0.737143,0.565758
33,0.153597,0.726461,0.612777,2946.21,216620,193710,123645,189674,145757,224750,9503,241808,162005,145903,0.91806,0.755214,0.728667,0.693835,0.7258,0.677276,0.696375,0.680221,0.676307,0.712859
34,0.176474,0.87112,0.808209,3171.77,108547,148131,142617,49104,175762,119274,128630,29424,2484,140654,0.911033,0.903298,0.899637,0.885842,0.87956,0.86938,0.875202,0.87081,0.823934,0.792506
35,0.180606,0.89386,0.833832,3115.58,138561,41318,84162,79800,93908,187845,200780,187394,109204,78111,1,0.936053,0.9233,0.892004,0.885195,0.865401,0.859889,0.867009,0.856858,0.852897
36,0.160831,0.765687,0.655955,3255.4,218068,225617,204202,209776,229501,236931,242652,208389,147643,40126,1,1,0.77022,0.753175,0.721664,0.720414,0.694002,0.684425,0.676326,0.636645
37,0.148831,0.721019,0.642614,3482.85,58841,190046,156580,228007,223631,158715,70150,238488,100346,179993,0.806531,0.778218,0.773846,0.766061,0.774715,0.750264,0.608032,0.731988,0.640642,0.579895
38,0.163837,0.798376,0.720726,3229.1,55188,50362,81166,201012,76262,163941,74620,55022,99363,102117,0.851891,0.850108,0.835246,0.820106,0.830799,0.753435,0.809479,0.681571,0.74009,0.811037
39,0.141015,0.670717,0.573337,2814.81,12418,243990,41340,48643,16983,40769,160570,41840,154361,31046,0.872967,0.678797,0.667993,0.646528,0.650621,0.64608,0.622675,0.662412,0.605458,0.653643
40,0.154722,0.748242,0.664291,2927.25,323,148968,133252,113994,101161,103821,140762,135124,114559,117623,0.795518,0.766996,0.776177,0.765491,0.762956,0.747258,0.771418,0.669335,0.731871,0.695405
41,0.165993,0.821603,0.766553,3345.49,219937,225811,120202,134271,180785,130281,155514,163605,129173,80248,0.878522,0.860775,0.859241,0.854128,0.839852,0.845606,0.828512,0.823105,0.820795,0.605495
42,0.153569,0.739999,0.651719,3343.8,72234,189611,131944,227539,115141,214776,390,175328,121501,116296,0.858461,0.785791,0.785106,0.779635,0.731307,0.734792,0.686975,0.712112,0.624491,0.701321
43,0.149707,0.702145,0.580348,3284.71,136357,181636,47114,7830,197984,49180,192684,42451,23562,246671,0.756588,0.744032,0.751839,0.70387,0.702953,0.707585,0.652289,0.680671,0.672214,0.649408
44,0.175496,0.854186,0.769143,3344.47,246371,160752,59527,17196,120041,226834,13301,243847,208889,75750,0.938981,0.911859,0.884481,0.873687,0.873392,0.872964,0.774386,0.817993,0.788226,0.805893
45,0.149113,0.71739,0.62956,3158.35,213767,214216,182607,214470,218844,146870,220045,193101,245254,173224,0.771206,0.741315,0.723428,0.728656,0.721124,0.737076,0.653331,0.721379,0.727335,0.649043
46,0.169734,0.819274,0.724271,2960.96,116748,72120,100946,131815,226417,114822,247965,214765,120001,75363,0.894926,0.860891,0.852949,0.827594,0.799142,0.818784,0.775168,0.768697,0.800864,0.793721
47,0.165514,0.79752,0.70231,3265.36,38661,22082,89867,130820,111301,182271,183228,37478,123522,54421,0.897094,0.865623,0.817919,0.817135,0.803461,0.799132,0.792371,0.760451,0.64468,0.777336
48,0.195,1,1,2505.24,2894,3106,11935,15316,28970,31950,34867,45631,48273,102138,1,1,1,1,1,1,1,1,1,1
49,0.169858,0.831878,0.759099,3233.79,175751,201361,161781,226942,191639,196328,213119,79689,234319,182652,0.870921,0.861401,0.85261,0.838532,0.833666,0.828623,0.792153,0.826403,0.812435,0.80203
50,0.170578,0.833679,0.757384,3375.98,98936,66941,84692,63707,87551,212278,50722,91966,145124,94120,0.881001,0.851353,0.83254,0.828218,0.826428,0.826298,0.832814,0.81673,0.806361,0.835046
51,0.171016,0.83224,0.749104,3302.05,237231,86921,209983,238731,93767,53180,212606,123897,158688,226113,0.89742,0.866956,0.860578,0.856919,0.820955,0.854282,0.851184,0.747984,0.759185,0.806939
52,0.162245,0.767851,0.648666,3261.78,183815,180139,93455,70787,154216,90373,91390,154220,195456,76623,0.845117,0.824979,0.765863,0.766063,0.76986,0.722828,0.771474,0.738397,0.728762,0.74516
53,0.171195,0.847416,0.790761,3371.33,243625,230481,169542,184764,46261,165548,216724,226211,178260,24380,0.920942,0.899868,0.887278,0.86497,0.849818,0.829942,0.817027,0.828767,0.801753,0.773794
54,0.162496,0.808098,0.761273,3127.23,52064,134863,103526,18484,232021,123782,189287,7138,132264,136115,0.844828,0.839591,0.834625,0.827736,0.81732,0.813221,0.760911,0.786207,0.737105,0.819436
55,0.163708,0.793841,0.708991,3409.21,95367,14879,136762,103540,37619,46429,132810,17511,28083,48974,0.848515,0.835163,0.837586,0.830001,0.782679,0.792778,0.763465,0.745242,0.771385,0.731595
56,0.142411,0.653448,0.5107,3214.86,68526,199842,78164,126760,99125,230335,226624,25346,248674,167530,0.707704,0.707631,0.665567,0.670543,0.658581,0.625704,0.666437,0.603175,0.632891,0.596251
57,0.165435,0.802872,0.718347,3351.91,238544,58699,77392,148815,79898,73170,43320,32033,52963,242328,0.873405,0.844084,0.840397,0.809621,0.840476,0.773895,0.819487,0.770866,0.747026,0.709461
58,0.159522,0.764218,0.664223,3277.7,67754,191822,58120,61604,146129,65945,226794,86097,92448,58509,0.865709,0.787683,0.777727,0.768821,0.779173,0.725246,0.760871,0.755011,0.684149,0.737795
59,0.172349,0.846332,0.776673,2993.22,19448,28345,10484,111753,128483,113215,11505,5818,47334,26975,0.88427,0.882819,0.869886,0.846632,0.847042,0.83233,0.850774,0.832453,0.817681,0.799435
60,0.17777,0.871962,0.79827,3343.29,72662,65295,201961,135265,91951,161878,62048,66100,98058,163513,0.930171,0.906236,0.886342,0.884128,0.863942,0.864926,0.870703,0.844961,0.867507,0.800705
61,0.153391,0.718909,0.593164,3129.62,28165,140956,127713,2782,237293,145662,133995,46184,110406,132312,0.816058,0.787809,0.769468,0.746336,0.734115,0.716142,0.655611,0.695423,0.682664,0.585469
62,0.164694,0.796993,0.708613,2888.42,97819,50714,30611,176728,233592,45345,76676,60165,81007,234941,0.860813,0.822083,0.821795,0.815074,0.811963,0.801816,0.784887,0.800572,0.731189,0.719738
63,0.167222,0.819493,0.748818,3451.74,241761,11738,211624,220304,72485,112311,94357,20028,83190,160539,0.852051,0.843916,0.850535,0.84574,0.825469,0.803491,0.811467,0.803471,0.837159,0.721633
64,0.163449,0.778354,0.667209,3381.22,168921,221236,248812,112733,121211,237253,27040,93741,167234,131250,0.888629,0.803241,0.793393,0.803566,0.803566,0.751759,0.768561,0.758714,0.667802,0.744307
