Indexing Time: 22964 MSec
Estimated Memory: 39.3081 MB

UID,MMR,Relevance,Diversity,MSec,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,IP1,IP2,IP3,IP4,IP5,IP6,IP7,IP8,IP9,IP10
0,0.368188,0.812808,0.764322,767.656,182368,189037,189738,181788,166579,218719,150212,211203,152580,207787,0.850348,0.841289,0.83413,0.829659,0.808595,0.796017,0.798957,0.791037,0.791278,0.786769
1,0.36911,0.81154,0.733203,474.319,155846,202128,74869,208413,188122,72027,178725,194231,182633,244077,0.928901,0.886444,0.865121,0.866702,0.818132,0.8087,0.747344,0.74204,0.733949,0.718072
2,0.411706,0.913819,0.904068,427.089,208067,214052,190026,37908,230859,2291,246312,213705,198013,156811,0.928309,0.923405,0.920455,0.920116,0.918251,0.913235,0.903695,0.904256,0.901883,0.904585
3,0.359911,0.802277,0.824548,463.276,215682,64779,60204,151309,169905,142480,173864,195042,201837,216593,0.815624,0.814988,0.80709,0.802343,0.801503,0.801874,0.798093,0.794589,0.794972,0.791697
4,0.286853,0.630815,0.571093,503.247,165976,61490,216660,61869,165379,163065,95928,97162,11568,43944,0.651038,0.648708,0.640119,0.629547,0.626827,0.632809,0.62742,0.621299,0.617924,0.612459
5,0.376909,0.839254,0.854361,436.907,55989,46142,129156,79611,54282,90361,67823,60036,205184,12981,0.859677,0.84991,0.841709,0.839645,0.839478,0.835542,0.839478,0.835414,0.825742,0.825951
6,0.359234,0.787192,0.687226,439.093,37366,52063,126890,64816,80843,85766,129536,24315,28934,81168,0.914737,0.876193,0.815674,0.813494,0.810249,0.762877,0.727602,0.727195,0.70941,0.714483
7,0.365118,0.803598,0.733609,539.87,230662,195830,206167,29611,108888,67851,118485,103248,13005,62000,0.882229,0.819557,0.808473,0.807886,0.807659,0.802623,0.797682,0.767532,0.767274,0.775062
8,0.356718,0.788039,0.74602,521.719,95236,234525,193541,209214,179679,228509,227517,187260,206350,214739,0.80634,0.80179,0.793564,0.792658,0.785575,0.788889,0.786681,0.75987,0.781125,0.783897
9,0.340775,0.751268,0.697185,429.631,146900,11153,104270,7987,72116,6427,106963,34121,71644,11240,0.784554,0.774041,0.769342,0.767175,0.768145,0.760505,0.743004,0.724813,0.711293,0.709805
10,0.365298,0.81284,0.822442,437.507,126370,121762,146120,49245,164205,191105,26486,110250,13333,11248,0.84843,0.835117,0.823651,0.81574,0.809014,0.808057,0.806787,0.806046,0.800095,0.775467
11,0.360281,0.791155,0.70593,439.157,78552,18512,116031,7200,211110,104070,1886,147411,60385,208947,0.953486,0.937765,0.803974,0.764154,0.76241,0.762261,0.737445,0.7361,0.727656,0.726306
