Indexing Time: 22026.2 MSec
Estimated Memory: 39.3081 MB

UID,MMR,Relevance,Diversity,MSec,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,IP1,IP2,IP3,IP4,IP5,IP6,IP7,IP8,IP9,IP10
0,0.613374,0.795128,0.757617,926.63,189037,189738,166579,218719,211203,206309,182048,216545,190219,198411,0.841289,0.83413,0.808595,0.796017,0.791037,0.782077,0.776545,0.774626,0.776183,0.770781
1,0.593843,0.768004,0.685332,668.113,155846,74869,188122,194231,153250,248982,235567,155545,22654,190455,0.928901,0.865121,0.818132,0.74204,0.728028,0.729112,0.726425,0.722787,0.70728,0.712215
2,0.69816,0.905929,0.886102,666.074,208067,190026,230859,213705,198013,67360,199693,186603,242463,233974,0.928309,0.920455,0.918251,0.904256,0.901883,0.900971,0.900528,0.897436,0.894792,0.892416
3,0.611296,0.794518,0.810594,659.352,215682,151309,142480,87852,195042,216593,239025,244856,196764,159577,0.815624,0.802343,0.801874,0.795488,0.794589,0.791697,0.788014,0.789067,0.786306,0.780176
4,0.48089,0.622976,0.583022,661.307,61490,163065,61869,165379,55634,11568,181266,60353,195203,83043,0.648708,0.632809,0.629547,0.626827,0.622359,0.617924,0.619092,0.617533,0.609896,0.605061
5,0.633506,0.822234,0.809368,660.667,55989,129156,54282,60036,205184,83680,166482,143332,132455,58110,0.859677,0.841709,0.839478,0.835414,0.825742,0.814189,0.810579,0.802189,0.797482,0.79588
6,0.579069,0.748179,0.649135,662.756,37366,64816,80843,129536,187655,28934,221819,32854,185869,180145,0.914737,0.813494,0.810249,0.727602,0.716403,0.70941,0.702043,0.698071,0.696426,0.693356
7,0.60749,0.786202,0.715742,681.907,230662,29611,67851,62000,135645,13005,90854,18590,38022,105275,0.882229,0.807886,0.802623,0.775062,0.773674,0.767274,0.7666,0.764052,0.760153,0.76247
8,0.60461,0.785318,0.788136,666.456,95236,193541,196293,227517,214739,244020,189514,208415,72648,145606,0.80634,0.793564,0.788879,0.786681,0.783897,0.78287,0.779715,0.776784,0.777953,0.776494
9,0.561681,0.726735,0.656906,664.667,146900,104270,6427,106963,71644,7112,186310,97101,48023,28407,0.784554,0.769342,0.760505,0.743004,0.711293,0.707348,0.698724,0.696447,0.698857,0.697277
10,0.612391,0.795493,0.800124,738.593,126370,49245,164205,26486,13333,172454,11248,442,21374,128609,0.84843,0.81574,0.809014,0.806787,0.800095,0.784435,0.775467,0.777861,0.770691,0.766409
11,0.576103,0.744278,0.64398,683.621,18512,116031,104070,147411,60385,6434,3680,79930,7650,205738,0.937765,0.803974,0.762261,0.7361,0.727656,0.699798,0.697223,0.695172,0.690278,0.692551
12,0.582241,0.755678,0.743388,673.61,52462,98901,77707,129293,164173,146030,88977,65863,220482,16623,0.793822,0.787375,0.756244,0.750567,0.748182,0.747575,0.746761,0.745239,0.742139,0.738877
13,0.584524,0.755037,0.650182,675.73,161856,219550,150152,162781,201750,218081,211072,173478,83940,220200,0.913831,0.776418,0.774243,0.757048,0.731004,0.730099,0.72527,0.720178,0.711267,0.711006
14,0.603311,0.783588,0.785323,751.782,55360,146223,83533,125052,83794,120336,121769,73594,53568,86446,0.789455,0.789192,0.787421,0.784847,0.785812,0.78236,0.783401,0.780637,0.778202,0.774554
15,0.631526,0.817536,0.750077,660.591,235091,81089,123299,162028,209867,144571,101859,227248,124672,118443,1,0.824267,0.809175,0.80271,0.800542,0.798809,0.794286,0.786406,0.778665,0.780495
