Indexing Time: 0.003 MSec
Estimated Memory: 3.05176e-05 MB

UID,MMR,Relevance,Diversity,MSec,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,IP1,IP2,IP3,IP4,IP5,IP6,IP7,IP8,IP9,IP10
0,0.627317,0.812808,0.764322,306.314,182368,189037,189738,181788,166579,150212,218719,152580,211203,207787,0.850348,0.841289,0.83413,0.829659,0.808595,0.798957,0.796017,0.791278,0.791037,0.786769
1,0.627547,0.812644,0.752277,306.279,155846,202128,208413,74869,188122,72027,178725,194231,182633,248982,0.928901,0.886444,0.866702,0.865121,0.818132,0.8087,0.747344,0.74204,0.733949,0.729112
2,0.703933,0.913819,0.904068,309.239,208067,214052,190026,37908,230859,2291,156811,213705,246312,198013,0.928309,0.923405,0.920455,0.920116,0.918251,0.913235,0.904585,0.904256,0.903695,0.901883
3,0.617232,0.802656,0.829765,309.248,215682,64779,60204,151309,142480,169905,173864,87852,201837,195042,0.815624,0.814988,0.80709,0.802343,0.801874,0.801503,0.798093,0.795488,0.794972,0.794589
4,0.488283,0.632614,0.593588,309.237,165976,61490,216660,163065,61869,95928,165379,93307,55634,97162,0.651038,0.648708,0.640119,0.632809,0.629547,0.62742,0.626827,0.626009,0.622359,0.621299
5,0.645773,0.839255,0.854361,309.24,55989,46142,129156,79611,54282,67823,90361,60036,12981,205184,0.859677,0.84991,0.841709,0.839645,0.839478,0.839478,0.835542,0.835414,0.825951,0.825742
6,0.60936,0.787891,0.698428,307.091,37366,52063,126890,64816,80843,85766,129536,24315,187655,81168,0.914737,0.876193,0.815674,0.813494,0.810249,0.762877,0.727602,0.727195,0.716403,0.714483
7,0.621122,0.804761,0.756222,306.148,230662,195830,206167,29611,108888,67851,118485,62000,135645,180484,0.882229,0.819557,0.808473,0.807886,0.807659,0.802623,0.797682,0.775062,0.773674,0.772767
8,0.608968,0.791118,0.79756,308.858,95236,234525,193541,209214,228509,196293,227517,179679,214739,95457,0.80634,0.80179,0.793564,0.792658,0.788889,0.788879,0.786681,0.785575,0.783897,0.782908
9,0.580099,0.751268,0.697185,309.686,146900,11153,104270,72116,7987,6427,106963,34121,71644,11240,0.784554,0.774041,0.769342,0.768145,0.767175,0.760505,0.743004,0.724813,0.711293,0.709805
10,0.626227,0.81428,0.839876,308.976,126370,121762,146120,49245,164205,191105,26486,110250,13333,130764,0.84843,0.835117,0.823651,0.81574,0.809014,0.808057,0.806787,0.806046,0.800095,0.78986
11,0.611746,0.791155,0.70593,309.039,78552,18512,116031,7200,211110,104070,1886,147411,60385,208947,0.953486,0.937765,0.803974,0.764154,0.76241,0.762261,0.737445,0.7361,0.727656,0.726306
12,0.588538,0.764306,0.763579,309.816,52462,164933,98901,142228,102517,77707,129293,69181,70060,164173,0.793822,0.791007,0.787375,0.759986,0.756769,0.756244,0.750567,0.749703,0.749408,0.748182
13,0.601472,0.779792,0.745383,309.435,161856,180519,219550,241332,173046,150152,186692,162781,167659,201750,0.913831,0.778988,0.776418,0.776418,0.774326,0.774243,0.761888,0.757048,0.753753,0.731004
14,0.605851,0.788132,0.821835,309.514,140332,55360,125127,146223,68214,184464,83533,83794,125052,132941,0.794256,0.789455,0.789192,0.789192,0.788873,0.788068,0.787421,0.785812,0.784847,0.784207
15,0.643193,0.833045,0.774773,309.749,235091,169441,134422,81089,123299,79592,162028,168704,209867,113931,1,0.856974,0.830541,0.824267,0.809175,0.803701,0.80271,0.80271,0.800542,0.799827
16,0.551976,0.715275,0.674809,307.606,121590,188209,156012,69514,174666,174453,10291,215629,145608,190994,0.812813,0.768982,0.750813,0.709,0.708525,0.705257,0.682953,0.673657,0.673109,0.667645
17,0.657231,0.851875,0.808981,305.526,211119,154137,239624,152376,222375,154389,216321,226406,156013,200258,0.904104,0.885066,0.876482,0.847205,0.842228,0.836849,0.832274,0.832014,0.831348,0.831183
18,0.554879,0.723922,0.808618,305.408,134400,206747,124155,204901,1010,142620,123599,110011,36274,76977,0.765783,0.747684,0.739423,0.727338,0.723772,0.723598,0.713751,0.707649,0.69767,0.692553
19,0.572241,0.741349,0.694611,309.475,205459,221288,225273,200445,152944,187958,133975,248644,211134,63780,1,0.728766,0.728766,0.712795,0.71252,0.710938,0.709083,0.704691,0.703385,0.702549
20,0.61081,0.790431,0.717825,308.957,1072,86262,26259,29845,139431,137069,94903,6649,42674,89903,0.822025,0.811205,0.797001,0.794548,0.786007,0.783665,0.779248,0.77699,0.776941,0.776683
21,0.613094,0.796088,0.792526,309.558,50737,55928,93146,71167,56635,88389,179413,220071,64376,87630,0.920936,0.792475,0.79178,0.784304,0.78113,0.780479,0.780164,0.778725,0.775915,0.774969
22,0.615205,0.796407,0.730668,308.848,37776,34000,27917,7669,135051,35906,49086,37296,5783,2004,0.894172,0.840552,0.803848,0.797882,0.797813,0.791675,0.779307,0.768074,0.767822,0.722922
23,0.601883,0.780181,0.742047,309.618,150946,185449,209453,237578,183834,161584,188099,162744,70612,91792,0.874242,0.790612,0.774504,0.771788,0.771168,0.770131,0.763394,0.762494,0.761981,0.761496
24,0.651975,0.846166,0.831909,307.444,77084,96582,93695,111644,240573,79254,64714,64862,84159,43821,0.879678,0.879678,0.865879,0.8493,0.841393,0.838304,0.836405,0.825061,0.823101,0.822859
25,0.523271,0.675146,0.561513,306.509,46078,163148,68478,143112,63770,61865,71036,124289,95522,113069,0.787113,0.732547,0.696369,0.693153,0.6613,0.644257,0.64315,0.634038,0.630119,0.629412
26,0.621457,0.807046,0.805996,305.855,83462,60764,123422,11842,60122,127101,63959,42134,215022,101909,0.856484,0.824473,0.811417,0.805784,0.803539,0.799728,0.79493,0.792731,0.791973,0.7894
27,0.549266,0.712594,0.693629,309.175,172554,214503,215019,231519,222628,37877,140780,46678,117753,194569,0.733051,0.726368,0.721318,0.721318,0.713685,0.713549,0.702849,0.698737,0.698094,0.69697
28,0.610687,0.79105,0.738453,309.763,108496,32563,4496,169373,178762,123636,114600,43576,105470,216317,0.858846,0.815808,0.807924,0.790078,0.786255,0.776333,0.775135,0.773316,0.773299,0.753509
29,0.605425,0.784419,0.737025,309.043,82074,65326,184975,87826,152700,171906,113207,50548,58158,186965,0.873977,0.786752,0.786327,0.779814,0.775811,0.775402,0.772688,0.770884,0.764009,0.758529
30,0.63626,0.825865,0.814401,308.955,83109,199879,188264,186884,222341,151521,167521,221620,168081,198271,0.896039,0.887506,0.822834,0.819061,0.814068,0.813008,0.808885,0.806665,0.795364,0.795219
31,0.646465,0.836872,0.767733,309.079,9166,248449,177591,76370,85967,100371,128860,169123,196810,222356,0.899414,0.888931,0.835273,0.831221,0.825719,0.82118,0.818948,0.818478,0.814882,0.814672
32,0.577215,0.74801,0.706449,309.267,141207,25563,24871,9637,18834,6885,47251,131667,6306,179069,0.766685,0.76585,0.759004,0.750014,0.747226,0.744636,0.739958,0.737143,0.736964,0.732623
33,0.567766,0.736254,0.707925,309.222,216620,193710,123645,145757,145903,244029,132010,208436,211621,9503,0.91806,0.755214,0.728667,0.7258,0.712859,0.710955,0.710381,0.705817,0.698418,0.696375
34,0.683653,0.887456,0.877081,309.024,108547,148131,142617,146421,49104,42494,175762,20673,128630,141754,0.911033,0.903298,0.899637,0.886691,0.885842,0.880903,0.87956,0.8782,0.875202,0.874195
35,0.691294,0.895817,0.845342,309.122,138561,41318,84162,79800,93908,189365,187394,187845,70903,200780,1,0.936053,0.9233,0.892004,0.885195,0.868825,0.867009,0.865401,0.860499,0.859889
36,0.59723,0.77277,0.699529,309.772,218068,225617,204202,209776,229501,236931,199585,242652,209413,202089,1,1,0.77022,0.753175,0.721664,0.720414,0.695394,0.694002,0.686793,0.686039
37,0.58729,0.765465,0.836074,309.293,58841,190046,223631,156580,227553,228007,158761,158715,112926,151687,0.806531,0.778218,0.774715,0.773846,0.769422,0.766061,0.759069,0.750264,0.741106,0.735422
38,0.633964,0.824187,0.846182,309.041,55188,50362,81166,76262,97038,201012,102117,74620,54704,81092,0.851891,0.850108,0.835246,0.830799,0.827903,0.820106,0.811037,0.809479,0.804447,0.800856
39,0.522897,0.676658,0.614323,308.868,12418,243990,41340,41840,31046,42650,16983,48643,40769,180149,0.872967,0.678797,0.667993,0.662412,0.653643,0.651442,0.650621,0.646528,0.64608,0.636097
40,0.583663,0.756217,0.710372,309.729,323,133252,140762,148968,113994,101161,103821,114559,145733,127298,0.795518,0.776177,0.771418,0.766996,0.765491,0.762956,0.747258,0.731871,0.72669,0.717799
41,0.648316,0.841444,0.827963,309.09,219937,225811,120202,134271,130281,180785,155514,163605,129173,242314,0.878522,0.860775,0.859241,0.854128,0.845606,0.839852,0.828512,0.823105,0.820795,0.8039
42,0.582447,0.755221,0.724337,308.997,72234,189611,131944,227539,214776,115141,145246,7653,175328,121342,0.858461,0.785791,0.785106,0.779635,0.734792,0.731307,0.726754,0.726415,0.712112,0.711836
43,0.55259,0.714473,0.632927,307.27,136357,47114,181636,49180,7830,197984,12316,13050,122609,39594,0.756588,0.751839,0.744032,0.707585,0.70387,0.702953,0.699362,0.698506,0.691228,0.688763
44,0.668463,0.867076,0.839911,306.363,246371,160752,59527,17196,120041,226834,231818,230696,35392,200028,0.938981,0.911859,0.884481,0.873687,0.873392,0.872964,0.838259,0.831944,0.824709,0.82048
45,0.565605,0.733909,0.717396,307.347,213767,214216,146870,225700,229386,214470,245254,182298,182607,193101,0.771206,0.741315,0.737076,0.73576,0.728905,0.728656,0.727335,0.724023,0.723428,0.721379
46,0.635619,0.823186,0.764335,309.43,116748,72120,100946,131815,114822,120001,226417,125007,75363,15124,0.894926,0.860891,0.852949,0.827594,0.818784,0.800864,0.799142,0.795035,0.793721,0.787952
47,0.631689,0.819455,0.795857,309.131,38661,22082,89867,130820,66180,111301,431,182271,227773,183228,0.897094,0.865623,0.817919,0.817135,0.804523,0.803461,0.800435,0.799132,0.796862,0.792371
48,0.77,1,1,309.631,2894,3106,11935,15316,28970,31950,34867,45631,48273,102138,1,1,1,1,1,1,1,1,1,1
49,0.647591,0.839367,0.796758,309.053,175751,201361,161781,228636,226942,191639,196328,79689,186918,208638,0.870921,0.861401,0.85261,0.841594,0.838532,0.833666,0.828623,0.826403,0.825387,0.814528
50,0.646772,0.837516,0.774685,309.113,98936,66941,94120,52636,50722,84692,63707,61291,87551,212278,0.881001,0.851353,0.835046,0.834162,0.832814,0.83254,0.828218,0.827303,0.826428,0.826298
51,0.660855,0.85872,0.870693,309.115,237231,86921,209983,238731,64812,53180,144021,228550,212606,37370,0.89742,0.866956,0.860578,0.856919,0.856796,0.854282,0.852934,0.852036,0.851184,0.838096
52,0.601781,0.778592,0.70308,309.019,183815,180139,91390,154216,90996,70787,93455,171608,216905,188914,0.845117,0.824979,0.771474,0.76986,0.766149,0.766063,0.765863,0.762443,0.759248,0.754719
53,0.65841,0.853375,0.809651,309.037,243625,230481,169542,184764,46261,165548,226211,168925,216724,74045,0.920942,0.899868,0.887278,0.86497,0.849818,0.829942,0.828767,0.822904,0.817027,0.81223
54,0.627335,0.814281,0.802981,309.102,52064,134863,103526,18484,136115,232021,123782,7138,99968,14369,0.844828,0.839591,0.834625,0.827736,0.819436,0.81732,0.813221,0.786207,0.780568,0.779273
